date,symbol,name,amount,price
2021-06-25,501018,南方原油,2050600,0.837
2021-06-29,159804,创中盘88ETF国寿,1089511,1.266
2021-06-30,516590,电动汽车,1350200,1.33
2021-07-01,515790,光伏ETF,1329900,1.33
2021-07-02,516590,电动汽车,1336700,1.308
2021-07-05,159885,碳中和ETF鹏华,1318300,1.311
2021-07-07,501018,南方原油,2042500,0.839
2021-07-09,513100,纳指ETF,348400,4.879
2021-07-12,513500,标普500,642400,2.67
2021-07-13,513100,纳指ETF,347500,4.945
2021-07-15,516960,机械ETF,1434300,1.206
2021-07-16,516800,智能制造ETF,1476900,1.182
2021-07-19,516960,机械ETF,1449600,1.176
2021-07-20,159980,有色ETF大成,1233300,1.363
2021-07-21,518880,黄金ETF,452800,3.685
2021-07-22,159985,豆粕ETF华夏,1268800,1.299
2021-07-23,510410,资源ETF,1630000,1.017
2021-07-26,159885,碳中和ETF鹏华,1118300,1.447
2021-08-03,159980,有色ETF大成,1145800,1.403
2021-08-05,512670,国防ETF,767500,2.226
2021-08-06,516660,新能汽车,1101300,1.592
2021-08-10,512710,军工龙头,1811000,1.016
2021-08-11,516800,智能制造ETF,1438300,1.277
2021-08-16,516320,装备ETF,1493000,1.191
2021-08-19,513500,标普500,651200,2.696
2021-08-23,511880,银华日利,17200,101.486
2021-08-25,513500,标普500,642100,2.745
2021-08-26,512670,国防ETF,1544500,1.14
2021-08-27,515220,煤炭ETF,840300,2.08
2021-08-31,513500,标普500,637500,2.777
2021-09-01,510170,商品ETF,450000,3.879
2021-09-02,513100,纳指ETF,336100,5.188
2021-09-03,513500,标普500,631500,2.774
2021-09-07,513100,纳指ETF,337600,5.196
2021-09-09,510880,红利ETF,537800,3.4
2021-09-13,516780,稀土ETF,1184000,1.603
2021-09-15,512400,有色ETF,1119500,1.665
2021-09-16,516950,基建ETF,1553000,1.181
2021-09-22,513520,日经ETF,1400900,1.287
2021-09-28,501018,南方原油,2145900,0.887
2021-09-29,511880,银华日利,18700,101.695
2021-10-18,501018,南方原油,2187000,0.967
2021-10-19,516670,畜牧养殖,2553600,0.877
2021-10-20,511880,银华日利,21900,101.821
2021-10-21,159865,养殖ETF国泰,2697000,0.813
2021-10-22,512600,必选消费,2324700,0.968
2021-10-28,501018,南方原油,2388400,0.923
2021-10-29,516590,电动汽车,1447200,1.517
2021-11-01,513500,标普500,794400,2.794
2021-11-03,516590,电动汽车,1440000,1.515
2021-11-05,159720,智能车ETF泰康,2006600,1.121
2021-11-09,516590,电动汽车,1441600,1.588
2021-11-10,516380,智能电车,1739300,1.275
2021-11-11,159720,智能车ETF泰康,1997400,1.122
2021-11-12,512670,国防ETF,1950100,1.182
2021-11-17,512660,军工ETF,1591500,1.398
2021-11-19,159786,VRETF银华,2039000,1.093
2021-11-22,513100,纳指ETF,409800,5.447
2021-11-30,159786,VRETF银华,1998100,1.099
2021-12-02,516150,稀土基金,1317800,1.636
2021-12-03,561800,稀金属,2035400,1.071
