date,symbol,name,amount,price
2024-02-07,159509,纳指科技ETF景顺,6635600,1.217
2024-02-08,512800,银行ETF,7454700,1.116
2024-02-19,159509,纳指科技ETF景顺,6740000,1.254
2024-03-04,512720,计算机,10118700,0.951
2024-03-05,159967,创业板成长ETF华夏,22650100,0.427
2024-03-06,588100,科创信息,9784500,0.979
2024-03-11,513310,中韩芯片,7571800,1.239
2024-03-12,159949,创业板50ETF华安,11757300,0.81
2024-03-14,515000,科技ETF,8271600,1.144
2024-03-15,159997,电子ETF天弘,10775700,0.868
2024-03-19,159998,计算机ETF天弘,12328300,0.79
2024-03-20,515980,人工智能,11460900,0.855
2024-03-21,561330,矿业ETF,10111900,0.97
2024-03-25,513310,中韩芯片,7553200,1.268
2024-03-26,161226,国投白银LOF,12062100,0.802
2024-03-27,159518,标普油气ETF嘉实,9191100,1.051
2024-04-03,561330,矿业ETF,9987600,1.036
2024-04-08,159518,标普油气ETF嘉实,9452000,1.129
2024-04-11,161226,国投白银LOF,11757100,0.893
2024-04-16,518880,黄金ETF,1973000,5.493
2024-04-19,511880,银华日利,106900,100.648
2024-04-22,159980,有色ETF大成,6130800,1.755
2024-05-08,513330,恒生互联,27309100,0.391
2024-05-09,159691,港股红利ETF工银,9202400,1.169
2024-05-10,513330,恒生互联,27741600,0.395
2024-05-13,159691,港股红利ETF工银,9199400,1.209
2024-05-14,513260,恒科技,10506600,1.054
2024-05-15,510900,恒生中国,12923800,0.851
2024-05-16,159985,豆粕ETF华夏,4848900,2.305
2024-05-20,513920,央企40,9116600,1.23
2024-05-23,159691,港股红利ETF工银,9199200,1.187
2024-05-24,159985,豆粕ETF华夏,4647800,2.339
2024-05-27,513100,纳指ETF,7852000,1.373
2024-05-28,161226,国投白银LOF,10572000,1.024
2024-05-29,159509,纳指科技ETF景顺,7369500,1.473
2024-05-30,511880,银华日利,105800,100.809
2024-06-03,159509,纳指科技ETF景顺,7237100,1.474
2024-06-13,513100,纳指ETF,8401400,1.434
2024-06-17,513310,中韩芯片,8809600,1.373
2024-06-20,513100,纳指ETF,8388700,1.471
2024-06-21,513310,中韩芯片,8902400,1.367
2024-06-24,513100,纳指ETF,8389000,1.444
2024-06-25,513500,标普500,6289400,1.907
2024-06-26,513100,纳指ETF,8324900,1.451
2024-06-28,159509,纳指科技ETF景顺,7178800,1.709
2024-07-03,513100,纳指ETF,8037400,1.502
2024-07-10,513520,日经ETF,7908200,1.574
2024-07-12,513000,225ETF,8186900,1.467
2024-07-17,513520,日经ETF,7976300,1.528
2024-07-22,513290,纳指生物,9038400,1.282
2024-07-24,511880,银华日利,115400,101.024
2024-07-26,159502,标普生物科技ETF嘉实,10555600,1.105
2024-07-30,513520,日经ETF,7801000,1.48
2024-07-31,513400,道琼斯,10718900,1.082
2024-08-01,159502,标普生物科技ETF嘉实,10795800,1.085
2024-08-02,518880,黄金ETF,2101300,5.496
2024-08-05,511880,银华日利,112300,101.068
2024-08-21,518880,黄金ETF,2052900,5.533
2024-08-28,513520,日经ETF,7626100,1.49
2024-08-29,518880,黄金ETF,2042600,5.543
2024-08-30,513500,标普500,5702600,1.974
2024-09-02,513000,225ETF,7865600,1.449
2024-09-03,513030,德国ETF,8008100,1.419
2024-09-04,511880,银华日利,109900,101.181
2024-09-05,159529,标普消费ETF景顺,9989800,1.113
2024-09-12,518880,黄金ETF,2017000,5.529
2024-09-13,159529,标普消费ETF景顺,9955400,1.138
2024-09-18,159985,豆粕ETF华夏,5720700,1.98
2024-09-20,159529,标普消费ETF景顺,9733300,1.14
2024-09-24,159985,豆粕ETF华夏,5696900,1.961
2024-09-25,513120,HK创新药,16051700,0.693
2024-09-26,159851,金融科技ETF华宝,12975700,0.867
2024-10-10,159980,有色ETF大成,9673200,1.71
2024-10-14,512040,国信价值,17388100,0.955
2024-10-15,517180,中国国企,10619000,1.552
2024-10-16,515220,煤炭ETF,13654000,1.199
2024-10-17,518880,黄金ETF,2776100,5.896
2024-10-22,513970,恒生消费,19760200,0.846
2024-10-23,159928,消费ETF汇添富,20249000,0.842
2024-10-24,159883,医疗器械ETF永赢,32700400,0.512
2024-10-25,588700,科创生物,18980000,0.894
2024-10-28,513180,恒指科技,27696700,0.618
2024-10-29,512170,医疗ETF,49828300,0.349
