date,before,weak,below,above,weak_start,weak_days,detail
2020-03-04,True,True,2,2,2020-03-03,2,000300.XSHG:2020-03-03:4091.3600:4086.1130:above|399101.XSHE:2020-03-03:10751.8400:10747.6600:above|399006.XSHE:2020-03-03:2173.3500:2186.1850:below|000510.XSHG:2020-03-03:4644.1889:4647.1751:below
2020-03-05,True,True,2,2,2020-03-03,3,000300.XSHG:2020-03-04:4115.0500:4092.4870:above|399101.XSHE:2020-03-04:10765.9100:10776.0990:below|399006.XSHE:2020-03-04:2169.4400:2189.1850:below|000510.XSHG:2020-03-04:4655.9484:4652.7705:above
2020-03-06,True,False,0,4,None,4,000300.XSHG:2020-03-05:4206.7300:4098.6940:above|399101.XSHE:2020-03-05:10942.2300:10799.8470:above|399006.XSHE:2020-03-05:2209.5900:2191.4700:above|000510.XSHG:2020-03-05:4747.1137:4657.7085:above
2020-03-09,False,False,0,4,None,0,000300.XSHG:2020-03-06:4138.5100:4097.5960:above|399101.XSHE:2020-03-06:10882.4400:10803.1070:above|399006.XSHE:2020-03-06:2192.9400:2188.1000:above|000510.XSHG:2020-03-06:4685.2765:4654.0411:above
2020-03-10,False,True,4,0,2020-03-10,0,000300.XSHG:2020-03-09:3997.1300:4084.0250:below|399101.XSHE:2020-03-09:10460.7200:10747.1320:below|399006.XSHE:2020-03-09:2093.0600:2171.0090:below|000510.XSHG:2020-03-09:4505.8718:4632.3098:below
2020-03-11,True,True,3,1,2020-03-11,2,000300.XSHG:2020-03-10:4082.7300:4079.9130:above|399101.XSHE:2020-03-10:10700.7800:10705.6730:below|399006.XSHE:2020-03-10:2148.8100:2157.1590:below|000510.XSHG:2020-03-10:4615.4919:4621.6549:below
2020-03-12,True,True,4,0,2020-03-12,2,000300.XSHG:2020-03-11:4028.4300:4075.4540:below|399101.XSHE:2020-03-11:10536.3800:10680.2360:below|399006.XSHE:2020-03-11:2101.4600:2149.2350:below|000510.XSHG:2020-03-11:4552.7554:4613.3136:below
2020-03-13,True,True,4,0,2020-03-13,2,000300.XSHG:2020-03-12:3950.9100:4062.0570:below|399101.XSHE:2020-03-12:10297.5900:10628.7690:below|399006.XSHE:2020-03-12:2045.9300:2134.1570:below|000510.XSHG:2020-03-12:4464.0163:4594.5637:below
2020-03-16,True,True,4,0,2020-03-16,2,000300.XSHG:2020-03-13:3895.3100:4057.5830:below|399101.XSHE:2020-03-13:10192.3900:10619.3540:below|399006.XSHE:2020-03-13:2030.5800:2130.0580:below|000510.XSHG:2020-03-13:4408.2702:4588.9602:below
2020-03-17,True,True,4,0,2020-03-17,2,000300.XSHG:2020-03-16:3727.8400:4023.4000:below|399101.XSHE:2020-03-16:9695.4200:10522.5700:below|399006.XSHE:2020-03-16:1910.7700:2107.5930:below|000510.XSHG:2020-03-16:4212.2084:4549.1142:below
