date,log_date,time,target,target_raw,top10_raw,top1
2024-06-04,2024-06-04,13:10:00,159509,159509.SZ,"159509.SZ:2.5284,513500.SH:0.2040,513290.SH:0.1616,513030.SH:0.0599,159502.SZ:0.0484,518880.SH:0.0009",159509
2024-06-05,2024-06-05,13:10:00,159509,159509.SZ,"159509.SZ:2.3296,513100.SH:0.3688,513500.SH:0.1970,513290.SH:0.1330,159502.SZ:0.0209,513310.SH:0.0068,513400.SH:0.0008,518880.SH:0.0000",159509
2024-06-06,2024-06-06,13:10:00,159509,159509.SZ,"159509.SZ:3.0594,513100.SH:0.4731,513500.SH:0.2609,513290.SH:0.1957,513310.SH:0.0310,518880.SH:0.0017",159509
2024-06-07,2024-06-07,13:10:00,159509,159509.SZ,"159509.SZ:3.2053,161226.SZ:1.3080,513100.SH:0.4677,513500.SH:0.2801,513290.SH:0.1895,513310.SH:0.0472,513030.SH:0.0144,518880.SH:0.0020",159509
2024-06-11,2024-06-11,13:10:00,159509,159509.SZ,"159509.SZ:3.4908,513100.SH:0.4614,513500.SH:0.3178,513290.SH:0.2051,159502.SZ:0.0354",159509
2024-06-12,2024-06-12,13:10:00,159509,159509.SZ,"159509.SZ:4.3482,513100.SH:0.5255,513500.SH:0.3562,513310.SH:0.2819,513290.SH:0.2525,159502.SZ:0.0758",159509
2024-06-13,2024-06-13,13:10:00,513100,513100.SH,"513100.SH:0.6752,513310.SH:0.5881,513500.SH:0.4277,513290.SH:0.3129,159502.SZ:0.1529,159529.SZ:0.0022",513100
2024-06-14,2024-06-14,13:10:00,513310,513310.SH,"513310.SH:0.8067,513100.SH:0.7371,513500.SH:0.4340,513290.SH:0.3123,159502.SZ:0.1686,159529.SZ:0.0036",513310
2024-06-17,2024-06-17,13:10:00,513310,513310.SH,"513310.SH:1.1031,513100.SH:0.8184,513500.SH:0.3887,159529.SZ:0.0064",513310
2024-06-18,2024-06-18,13:10:00,513310,513310.SH,"513310.SH:1.4122,513100.SH:0.9831,513500.SH:0.4593,159529.SZ:0.0504",513310
2024-06-19,2024-06-19,13:10:00,513310,513310.SH,"513310.SH:1.6465,513100.SH:1.0917,513500.SH:0.4677,159529.SZ:0.0833",513310
2024-06-20,2024-06-20,13:10:00,513310,513310.SH,"513310.SH:2.0446,513100.SH:1.2454,513500.SH:0.5408,159529.SZ:0.1430",513310
2024-06-21,2024-06-21,13:10:00,513310,513310.SH,"513310.SH:1.9609,513100.SH:1.1960,513500.SH:0.6220,159529.SZ:0.1899",513310
2024-06-24,2024-06-24,13:10:00,513500,513500.SH,"513500.SH:0.6482,159502.SZ:0.0570,501018.SH:0.0026",513500
2024-06-25,2024-06-25,13:10:00,513500,513500.SH,"513500.SH:0.6228,159529.SZ:0.4043,501018.SH:0.0632",513500
