trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2026-05-13,159949,159949,857100,3258.774555896176,1666202.4,1669461.174555896
2026-05-14,159915,159915,411600,3281.1075772882905,1630347.5999999999,1633628.7075772882
2026-05-15,159949,159949,857800,3273.835438136477,1622957.5999999999,1626231.4354381363
2026-05-18,513100,513100,784000,3250.789451896446,1619743.9999999998,1622994.7894518962
2026-05-19,513100,513100,784000,3250.789451896446,1604848.0000000002,1608098.7894518967
2026-05-20,511880,511880,15800,7239.240661480697,1587505.0,1594744.2406614807
2026-05-21,511880,511880,15800,7239.240661480697,1587599.7999999998,1594839.0406614805
2026-05-22,159509,159509,607100,3268.543049440719,1600922.7,1604191.2430494407
2026-05-25,159509,159509,607100,3268.543049440719,1640991.2999999998,1644259.8430494405
2026-05-26,159509,159509,607100,3268.543049440719,1615493.1,1618761.6430494408
2026-05-27,515980,515980,1434800,3185.104415128939,1645715.6,1648900.704415129
2026-05-28,159819,159819,847900,3392.3923443728127,1729716.0,1733108.3923443728
2026-05-29,515980,515980,1504700,3308.796958058607,1701815.7,1705124.4969580586
2026-06-01,513100,513100,701400,3358.9205714189447,1658811.0000000002,1662169.9205714192
2026-06-02,513100,513100,701400,3358.9205714189447,1643380.2,1646739.120571419
2026-06-03,513100,513100,701400,3358.9205714189447,1612518.5999999999,1615877.5205714188
2026-06-04,513100,513100,709100,3042.406323158648,1588384.0000000002,1591426.4063231589
2026-06-05,515050,515050,1276400,3082.8854381905403,1573801.2000000002,1576884.0854381907
2026-06-08,513520,513520,686500,3102.250320290681,1532268.0000000002,1535370.250320291
2026-06-09,511880,511880,16100,9664.313765104627,1618275.4,1627939.7137651045
2026-06-10,511880,511880,16100,9664.313765104627,1618323.7,1627988.0137651046
2026-06-11,511880,511880,16100,9664.313765104627,1618420.3,1628084.6137651047
2026-06-12,511880,511880,16100,9664.313765104627,1618323.7,1627988.0137651046
2026-06-15,511880,511880,16100,9664.313765104627,1618355.9000000001,1628020.2137651048
2026-06-16,513520,513520,655400,3144.1825234808493,1609662.4,1612806.5825234808
2026-06-17,513520,513520,655400,3144.1825234808493,1611628.6,1614772.782523481
2026-06-18,513520,513520,655400,3144.1825234808493,1656851.2,1659995.3825234808
2026-06-22,513520,513520,655400,3144.1825234808493,1707972.4,1711116.5825234808
2026-06-23,515880,515880,891400,3153.4700148007832,766670.6150728309,769824.0850876317
2026-06-24,159516,159516,979800,3116.498635340715,1619609.4000000001,1622725.8986353409
2026-06-25,588220,588220,787500,3249.961514840601,1661625.0,1664874.9615148406
2026-06-26,588220,588220,787500,3249.961514840601,1630912.5000000002,1634162.4615148408
2026-06-29,513520,513520,656900,3211.159494188614,1633710.3,1636921.4594941887
2026-06-30,513310,513310,244200,3689.94349739654,1632965.4000000001,1636655.3434973967
2026-07-01,159502,159502,1006400,3147.1122515725438,1618291.2000000002,1621438.3122515727
2026-07-02,159967,159967,1685200,3163.975902028382,1622847.5999999999,1626011.5759020282
2026-07-03,513290,513290,942700,3312.070776021341,1692146.5,1695458.5707760213
2026-07-06,513400,513400,1209300,3180.985470595304,1642229.4000000001,1645410.3854705954
