trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2026-05-12,159363,159363,1194300,3182.8283423976973,1633802.4000000001,1636985.2283423978
2026-05-13,159949,159949,879500,3318.418397187721,1709748.0,1713066.4183971877
2026-05-14,159915,159915,422300,3569.13270386355,1672730.3,1676299.4327038636
2026-05-15,159949,159949,884000,3253.767894743476,1672528.0,1675781.7678947435
2026-05-18,513100,513100,809100,3270.6682289135642,1671600.5999999999,1674871.2682289134
2026-05-19,513100,513100,809100,3270.6682289135642,1656227.7000000002,1659498.3682289138
2026-05-20,511880,511880,16300,8169.610097649973,1637742.5,1645912.11009765
2026-05-21,511880,511880,16300,8169.610097649973,1637840.2999999998,1646009.9100976498
2026-05-22,159509,159509,626600,3318.537463810062,1652344.2,1655662.73746381
2026-05-25,159509,159509,626600,3318.537463810062,1693699.7999999998,1697018.3374638099
2026-05-26,159509,159509,626600,3318.537463810062,1667382.6,1670701.1374638102
2026-05-27,515980,515980,1480800,3330.692374258302,1698477.6,1701808.2923742584
2026-05-28,159819,159819,875200,3314.364241330186,1785408.0,1788722.3642413302
2026-05-29,515980,515980,1553000,3394.5158924702555,1756443.0,1759837.5158924703
2026-06-01,513100,513100,723900,3480.850834830664,1712023.5000000002,1715504.350834831
2026-06-02,513100,513100,723900,3480.850834830664,1696097.7,1699578.5508348306
2026-06-03,513100,513100,729600,3223.969241239596,1677350.4,1680574.3692412395
2026-06-04,513100,513100,729600,3223.969241239596,1634304.0000000002,1637527.9692412398
2026-06-05,515050,515050,1323600,3149.892458301969,1631998.8,1635148.692458302
2026-06-08,513520,513520,718000,3177.9473083419725,1602576.0000000002,1605753.9473083422
2026-06-09,511880,511880,16900,3882.5676249479875,1698686.5999999999,1702569.1676249478
2026-06-10,511880,511880,16900,3882.5676249479875,1698737.3,1702619.867624948
2026-06-11,511880,511880,16900,3882.5676249479875,1698838.7,1702721.267624948
2026-06-12,511880,511880,16900,3882.5676249479875,1698737.3,1702619.867624948
2026-06-15,511880,511880,16900,3882.5676249479875,1698771.1,1702653.667624948
2026-06-16,513520,513520,685400,3400.049696523929,1683342.4,1686742.4496965238
2026-06-17,513520,513520,685400,3400.049696523929,1685398.6,1688798.649696524
2026-06-18,513520,513520,685400,3400.049696523929,1732691.2,1736091.2496965239
2026-06-22,513520,513520,685400,3400.049696523929,1786152.4,1789552.4496965238
2026-06-23,515880,515880,932300,3233.3490072637796,801847.6715642812,805081.020571545
2026-06-24,159516,159516,1024700,3286.3450695739593,1693829.1,1697115.445069574
2026-06-25,588220,588220,823600,3400.206097206101,1737796.0,1741196.206097206
2026-06-26,588220,588220,823600,3400.206097206101,1705675.6,1709075.8060972062
2026-06-29,513520,513520,687000,3391.856419246178,1708569.0,1711960.8564192462
2026-06-30,513310,513310,255400,3821.1483307422604,1707859.8,1711680.9483307423
2026-07-01,159502,159502,1053400,3308.7611683495343,1693867.2000000002,1697175.9611683497
2026-07-02,159967,159967,1760300,3266.081794971833,1695168.9,1698434.9817949717
2026-07-03,513290,513290,984700,3440.0820617447607,1767536.5,1770976.5820617448
2026-07-06,513400,513400,1263200,3273.1834694501013,1715425.6,1718698.7834694502
