rank,grid_id,initial_entry_label,initial_entry_minute,stop_loss_profile,stop_loss_windows,trend_check_label,trend_check_minutes,force_buy_minute,total_return,annualized_return,max_drawdown,trade_count,buy_count,sell_count,stop_loss_count,win_rate,final_equity,daily_volatility,score_return_drawdown,entry_mode_breakdown,execution_mode_breakdown
17,72,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
18,73,1320,1320.0,post_entry,"[[1312, 1456]]",1340_1410,"[1340, 1410]",1440,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
19,74,1320,1320.0,post_entry,"[[1312, 1456]]",1340_1410,"[1340, 1410]",1450,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
20,75,1320,1320.0,post_entry,"[[1312, 1456]]",1340_1410,"[1340, 1410]",1455,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
21,76,1320,1320.0,post_entry,"[[1312, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1440,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
22,77,1320,1320.0,post_entry,"[[1312, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1450,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
23,78,1320,1320.0,post_entry,"[[1312, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1455,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
24,79,1320,1320.0,post_entry,"[[1312, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
25,80,1320,1320.0,post_entry,"[[1312, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1450,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
26,81,1320,1320.0,post_entry,"[[1312, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
