date,before,weak,below,above,weak_start,weak_days,detail
2021-06-08,False,True,3,1,2021-06-08,0,000300.XSHG:2021-06-07:5277.6300:5307.6810:below|399101.XSHE:2021-06-07:13119.9100:12992.6750:above|399006.XSHE:2021-06-07:3228.2400:3240.7490:below|000510.XSHG:2021-06-07:6081.2729:6101.9027:below
2021-06-09,True,True,3,1,2021-06-09,2,000300.XSHG:2021-06-08:5232.1200:5299.0450:below|399101.XSHE:2021-06-08:13039.3000:13010.2240:above|399006.XSHE:2021-06-08:3208.5700:3238.8700:below|000510.XSHG:2021-06-08:6041.0895:6097.2469:below
2021-06-10,True,True,3,1,2021-06-10,2,000300.XSHG:2021-06-09:5236.4500:5290.6310:below|399101.XSHE:2021-06-09:13074.1600:13031.6460:above|399006.XSHE:2021-06-09:3207.6300:3239.9480:below|000510.XSHG:2021-06-09:6056.5552:6094.0202:below
2021-06-15,False,True,3,1,2021-06-15,0,000300.XSHG:2021-06-11:5224.7000:5274.3160:below|399101.XSHE:2021-06-11:13022.2700:13063.4540:below|399006.XSHE:2021-06-11:3298.5000:3252.5090:above|000510.XSHG:2021-06-11:6083.1004:6091.3184:below
2021-06-16,True,True,3,1,2021-06-16,2,000300.XSHG:2021-06-15:5166.5600:5257.8150:below|399101.XSHE:2021-06-15:12912.6500:13051.3670:below|399006.XSHE:2021-06-15:3262.1900:3247.8210:above|000510.XSHG:2021-06-15:6013.5498:6078.7263:below
2021-06-24,True,False,1,3,None,4,000300.XSHG:2021-06-23:5147.3900:5154.3970:below|399101.XSHE:2021-06-23:13176.7000:12969.6630:above|399006.XSHE:2021-06-23:3318.9500:3247.8870:above|000510.XSHG:2021-06-23:6029.7733:5999.9214:above
2021-07-19,False,True,3,1,2021-07-19,0,000300.XSHG:2021-07-16:5094.7700:5107.1200:below|399101.XSHE:2021-07-16:13428.4500:13394.6860:above|399006.XSHE:2021-07-16:3432.6500:3440.4380:below|000510.XSHG:2021-07-16:6037.0645:6042.9129:below
2021-07-20,True,True,2,2,2021-07-19,2,000300.XSHG:2021-07-19:5113.4900:5109.8900:above|399101.XSHE:2021-07-19:13372.6100:13413.9450:below|399006.XSHE:2021-07-19:3449.5300:3450.1790:below|000510.XSHG:2021-07-19:6054.5696:6050.5888:above
2021-07-26,False,True,3,1,2021-07-26,0,000300.XSHG:2021-07-23:5089.2300:5121.1620:below|399101.XSHE:2021-07-23:13549.2900:13520.7890:above|399006.XSHE:2021-07-23:3469.8700:3499.6090:below|000510.XSHG:2021-07-23:6059.2485:6083.7020:below
2021-08-03,True,False,1,3,None,2,000300.XSHG:2021-08-02:4933.7400:4952.6280:below|399101.XSHE:2021-08-02:13426.0200:13293.8130:above|399006.XSHE:2021-08-02:3493.3600:3432.0400:above|000510.XSHG:2021-08-02:5927.9863:5919.0329:above
2021-08-04,False,False,1,3,None,0,000300.XSHG:2021-08-03:4934.4600:4935.1750:below|399101.XSHE:2021-08-03:13299.4600:13282.9600:above|399006.XSHE:2021-08-03:3477.2300:3433.3840:above|000510.XSHG:2021-08-03:5910.0996:5904.4852:above
2021-08-16,False,True,3,1,2021-08-16,0,000300.XSHG:2021-08-13:4945.9800:4968.0660:below|399101.XSHE:2021-08-13:13671.1100:13577.2680:above|399006.XSHE:2021-08-13:3345.1300:3465.1160:below|000510.XSHG:2021-08-13:5926.7448:5958.6373:below
2021-08-25,True,False,1,3,None,2,000300.XSHG:2021-08-24:4888.3900:4896.3060:below|399101.XSHE:2021-08-24:13735.4300:13511.4280:above|399006.XSHE:2021-08-24:3330.5800:3303.8140:above|000510.XSHG:2021-08-24:5856.8659:5851.2023:above
2021-08-27,False,True,3,1,2021-08-27,0,000300.XSHG:2021-08-26:4801.6100:4867.4140:below|399101.XSHE:2021-08-26:13620.5200:13505.4690:above|399006.XSHE:2021-08-26:3264.4500:3282.7760:below|000510.XSHG:2021-08-26:5782.7156:5822.4058:below
2021-08-30,True,True,2,2,2021-08-27,2,000300.XSHG:2021-08-27:4827.0400:4855.5200:below|399101.XSHE:2021-08-27:13681.3600:13506.4940:above|399006.XSHE:2021-08-27:3257.0700:3273.9700:below|000510.XSHG:2021-08-27:5818.0327:5811.5346:above
2021-09-01,False,True,3,1,2021-09-01,0,000300.XSHG:2021-08-31:4805.6100:4839.5610:below|399101.XSHE:2021-08-31:13642.5000:13569.7140:above|399006.XSHE:2021-08-31:3214.1200:3270.0080:below|000510.XSHG:2021-08-31:5802.5695:5807.2693:below
2021-09-02,True,True,2,2,2021-09-01,2,000300.XSHG:2021-09-01:4869.4600:4837.0830:above|399101.XSHE:2021-09-01:13533.0700:13596.3130:below|399006.XSHE:2021-09-01:3186.8500:3263.8560:below|000510.XSHG:2021-09-01:5832.3475:5809.0970:above
2021-09-03,True,True,2,2,2021-09-01,3,000300.XSHG:2021-09-02:4869.4100:4837.8100:above|399101.XSHE:2021-09-02:13613.2400:13621.9890:below|399006.XSHE:2021-09-02:3138.8000:3249.9000:below|000510.XSHG:2021-09-02:5838.7513:5813.0188:above
2021-09-07,True,False,1,3,None,2,000300.XSHG:2021-09-06:4933.7300:4854.9740:above|399101.XSHE:2021-09-06:13767.8400:13658.6130:above|399006.XSHE:2021-09-06:3228.0900:3234.2560:below|000510.XSHG:2021-09-06:5915.3213:5835.6401:above
2026-06-29,False,True,3,1,2026-06-29,0,000300.XSHG:2026-06-26:4868.2205:4923.6638:below|399101.XSHE:2026-06-26:15594.4583:15801.7542:below|399006.XSHE:2026-06-26:4194.2089:4175.5477:above|000510.XSHG:2026-06-26:6147.4526:6184.4391:below
2026-06-30,True,True,2,2,2026-06-29,2,000300.XSHG:2026-06-29:4926.9210:4938.6239:below|399101.XSHE:2026-06-29:15498.6817:15830.2924:below|399006.XSHE:2026-06-29:4216.6985:4214.1822:above|000510.XSHG:2026-06-29:6222.3611:6213.5103:above
2026-07-01,True,False,1,3,None,3,000300.XSHG:2026-06-30:4979.4328:4947.3959:above|399101.XSHE:2026-06-30:15839.2539:15849.9733:below|399006.XSHE:2026-06-30:4342.7123:4245.1000:above|000510.XSHG:2026-06-30:6314.9880:6235.0904:above
2026-07-02,False,False,1,3,None,0,000300.XSHG:2026-07-01:4958.9773:4954.8704:above|399101.XSHE:2026-07-01:15927.5077:15867.8852:above|399006.XSHE:2026-07-01:4260.7208:4260.8779:below|000510.XSHG:2026-07-01:6277.7751:6251.6815:above
2026-07-03,False,True,4,0,2026-07-03,0,000300.XSHG:2026-07-02:4812.2957:4942.9614:below|399101.XSHE:2026-07-02:15534.2578:15835.7302:below|399006.XSHE:2026-07-02:4017.2735:4245.9004:below|000510.XSHG:2026-07-02:6076.2531:6240.4972:below
