date,value,action,line
2020-05-25,1021649.2907500013,close,2020-05-25 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395791 security=161226.XSHE mode=OrderTargetValue: _value=1021649.2907500013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-05-25 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-05-26,1045644.3907500012,close,2020-05-26 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395792 security=161226.XSHE mode=OrderTargetValue: _value=1045644.3907500012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-05-26 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-05-27,1033015.3907500012,close,2020-05-27 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395793 security=161226.XSHE mode=OrderTargetValue: _value=1033015.3907500012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-05-27 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-05-28,1050695.9907500013,close,2020-05-28 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395794 security=161226.XSHE mode=OrderTargetValue: _value=1050695.9907500013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-05-28 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-05-29,1050695.9907500013,close,2020-05-29 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395795 security=161226.XSHE mode=OrderTargetValue: _value=1050695.9907500013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-05-29 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-01,1092371.6907500012,close,2020-06-01 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395796 security=161226.XSHE mode=OrderTargetValue: _value=1092371.6907500012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-01 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-05,1113408.536190001,close,2020-06-05 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395803 security=161226.XSHE mode=OrderTargetValue: _value=1113408.536190001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-05 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-09,1115232.9711600011,close,2020-06-09 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395806 security=513520.XSHG mode=OrderTargetValue: _value=1115232.9711600011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-09 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-10,1126345.171160001,close,2020-06-10 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395807 security=513520.XSHG mode=OrderTargetValue: _value=1126345.171160001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-10 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-11,1109171.7711600012,close,2020-06-11 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395808 security=513520.XSHG mode=OrderTargetValue: _value=1109171.7711600012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-11 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-12,1087957.571160001,close,2020-06-12 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395809 security=513520.XSHG mode=OrderTargetValue: _value=1087957.571160001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-12 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-17,1077480.0935100007,close,2020-06-17 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395814 security=513030.XSHG mode=OrderTargetValue: _value=1077480.0935100007 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-17 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
