trade_date,target_symbol,rank,momentum_score,annualized_return,r_squared,close,is_weak,candidates_json
2026-03-11,159667,1,4.770438529636746,5.823058506895465,0.8192324573053419,0.6641944216570959,False,"[{""symbol"": ""159667"", ""rank"": 1, ""momentum_score"": 4.770438529636746, ""annualized_return"": 5.823058506895465, ""r_squared"": 0.8192324573053419, ""close"": 0.6641944216570959}]"
2026-03-12,159611,1,3.969711165752693,4.7279650171270395,0.8396236332909457,1.205,False,"[{""symbol"": ""159611"", ""rank"": 1, ""momentum_score"": 3.969711165752693, ""annualized_return"": 4.7279650171270395, ""r_squared"": 0.8396236332909457, ""close"": 1.205}]"
2026-03-13,515220,1,4.803928269168776,5.5948037114923945,0.8586410742705655,1.319,False,"[{""symbol"": ""515220"", ""rank"": 1, ""momentum_score"": 4.803928269168776, ""annualized_return"": 5.5948037114923945, ""r_squared"": 0.8586410742705655, ""close"": 1.319}, {""symbol"": ""561360"", ""rank"": 2, ""momentum_score"": 4.688890214226489, ""annualized_return"": 7.344788766585209, ""r_squared"": 0.6383968774647935, ""close"": 1.626}, {""symbol"": ""159611"", ""rank"": 3, ""momentum_score"": 4.6224494653140615, ""annualized_return"": 5.261905139689103, ""r_squared"": 0.8784744959479025, ""close"": 1.179}]"
2026-03-16,515220,1,4.779752344759468,5.4939766714979115,0.8699986604523181,1.288,False,"[{""symbol"": ""515220"", ""rank"": 1, ""momentum_score"": 4.779752344759468, ""annualized_return"": 5.4939766714979115, ""r_squared"": 0.8699986604523181, ""close"": 1.288}, {""symbol"": ""159326"", ""rank"": 2, ""momentum_score"": 4.560991121128278, ""annualized_return"": 5.629138835018851, ""r_squared"": 0.810246692221263, ""close"": 1.969}, {""symbol"": ""159611"", ""rank"": 3, ""momentum_score"": 4.480485303695192, ""annualized_return"": 5.042771535445092, ""r_squared"": 0.8884965880770821, ""close"": 1.147}]"
2026-03-17,159985,1,4.30550158622318,5.088922736750983,0.8460536362892438,2.25,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 4.30550158622318, ""annualized_return"": 5.088922736750983, ""r_squared"": 0.8460536362892438, ""close"": 2.25}]"
2026-03-18,159985,1,4.501274686175927,5.196990766350855,0.8661309762796758,2.251,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 4.501274686175927, ""annualized_return"": 5.196990766350855, ""r_squared"": 0.8661309762796758, ""close"": 2.251}]"
2026-03-19,159985,1,4.424429955275559,5.063117868748441,0.8738548202847269,2.244,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 4.424429955275559, ""annualized_return"": 5.063117868748441, ""r_squared"": 0.8738548202847269, ""close"": 2.244}]"
2026-03-20,511880,999,,,,100.285,True,[]
2026-03-23,511880,999,,,,100.279,True,[]
2026-03-24,511880,999,,,,100.283,True,[]
2026-03-25,511880,999,,,,100.285,True,[]
2026-03-26,511880,999,,,,100.298,True,[]
2026-03-27,511880,999,,,,100.296,True,[]
2026-03-30,511880,999,,,,100.296,True,[]
2026-03-31,520830,1,0.0001297139296270697,0.02758776683135178,0.004701864069680983,0.924,True,"[{""symbol"": ""520830"", ""rank"": 1, ""momentum_score"": 0.0001297139296270697, ""annualized_return"": 0.02758776683135178, ""r_squared"": 0.004701864069680983, ""close"": 0.924}]"
2026-04-01,512800,1,0.16031442093353332,0.333979971624073,0.4800120802273222,0.802,False,"[{""symbol"": ""512800"", ""rank"": 1, ""momentum_score"": 0.16031442093353332, ""annualized_return"": 0.333979971624073, ""r_squared"": 0.4800120802273222, ""close"": 0.802}]"
2026-04-02,520830,1,0.028824729184567972,0.19258100698447156,0.14967586698148383,0.93,True,"[{""symbol"": ""520830"", ""rank"": 1, ""momentum_score"": 0.028824729184567972, ""annualized_return"": 0.19258100698447156, ""r_squared"": 0.14967586698148383, ""close"": 0.93}]"
2026-04-03,520830,1,0.03806323009124959,0.21299668534837246,0.17870339169360427,0.927,True,"[{""symbol"": ""520830"", ""rank"": 1, ""momentum_score"": 0.03806323009124959, ""annualized_return"": 0.21299668534837246, ""r_squared"": 0.17870339169360427, ""close"": 0.927}]"
2026-04-07,520830,1,0.03683942360966916,0.2076764282514103,0.17738856508583556,0.923,True,"[{""symbol"": ""520830"", ""rank"": 1, ""momentum_score"": 0.03683942360966916, ""annualized_return"": 0.2076764282514103, ""r_squared"": 0.17738856508583556, ""close"": 0.923}]"
2026-04-08,513120,1,1.1214542821115272,2.428918779218449,0.4617092558658452,1.3,False,"[{""symbol"": ""513120"", ""rank"": 1, ""momentum_score"": 1.1214542821115272, ""annualized_return"": 2.428918779218449, ""r_squared"": 0.4617092558658452, ""close"": 1.3}]"
2026-04-09,513120,1,1.2560038012497179,2.556571505370172,0.49128444035750063,1.276,False,"[{""symbol"": ""513120"", ""rank"": 1, ""momentum_score"": 1.2560038012497179, ""annualized_return"": 2.556571505370172, ""r_squared"": 0.49128444035750063, ""close"": 1.276}]"
2026-04-10,513120,1,1.2656307700504297,2.551051740906202,0.49612116828365216,1.282,False,"[{""symbol"": ""513120"", ""rank"": 1, ""momentum_score"": 1.2656307700504297, ""annualized_return"": 2.551051740906202, ""r_squared"": 0.49612116828365216, ""close"": 1.282}]"
2026-04-13,515880,1,1.3718602933955482,2.8999327303093017,0.473066247039885,0.5829715009499684,False,"[{""symbol"": ""515880"", ""rank"": 1, ""momentum_score"": 1.3718602933955482, ""annualized_return"": 2.8999327303093017, ""r_squared"": 0.473066247039885, ""close"": 0.5829715009499684}, {""symbol"": ""513120"", ""rank"": 2, ""momentum_score"": 1.2595968276113334, ""annualized_return"": 2.49773432957161, ""r_squared"": 0.5042957582391754, ""close"": 1.272}]"
2026-04-14,515880,1,2.2635582159458734,4.023797097036943,0.5625428323939892,0.5939981000633313,False,"[{""symbol"": ""515880"", ""rank"": 1, ""momentum_score"": 2.2635582159458734, ""annualized_return"": 4.023797097036943, ""r_squared"": 0.5625428323939892, ""close"": 0.5939981000633313}]"
2026-04-15,515880,1,2.8260064294662777,4.6478845751434,0.6080199247157698,0.584889170360988,False,"[{""symbol"": ""515880"", ""rank"": 1, ""momentum_score"": 2.8260064294662777, ""annualized_return"": 4.6478845751434, ""r_squared"": 0.6080199247157698, ""close"": 0.584889170360988}]"
2026-04-16,515880,1,4.326536949489322,6.225668172371682,0.6949514220320415,0.6059835338822039,False,"[{""symbol"": ""515880"", ""rank"": 1, ""momentum_score"": 4.326536949489322, ""annualized_return"": 6.225668172371682, ""r_squared"": 0.6949514220320415, ""close"": 0.6059835338822039}]"
2026-04-17,159967,1,3.7592844945122006,6.478747351512287,0.580248663907954,0.789,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 3.7592844945122006, ""annualized_return"": 6.478747351512287, ""r_squared"": 0.580248663907954, ""close"": 0.789}, {""symbol"": ""515050"", ""rank"": 2, ""momentum_score"": 3.4481543052143233, ""annualized_return"": 6.161964311062818, ""r_squared"": 0.5595868672955011, ""close"": 1.0022138138138137}]"
2026-04-20,159363,1,4.718660956559004,7.574803962106349,0.6229416602943836,1.295,False,"[{""symbol"": ""159363"", ""rank"": 1, ""momentum_score"": 4.718660956559004, ""annualized_return"": 7.574803962106349, ""r_squared"": 0.6229416602943836, ""close"": 1.295}]"
2026-04-21,562800,1,2.9949072694354544,4.378251342946625,0.6840418776460282,1.13,False,"[{""symbol"": ""562800"", ""rank"": 1, ""momentum_score"": 2.9949072694354544, ""annualized_return"": 4.378251342946625, ""r_squared"": 0.6840418776460282, ""close"": 1.13}, {""symbol"": ""159819"", ""rank"": 2, ""momentum_score"": 2.8706035802274354, ""annualized_return"": 5.098314266732559, ""r_squared"": 0.563049555214486, ""close"": 1.72}, {""symbol"": ""515980"", ""rank"": 3, ""momentum_score"": 2.7970941180574367, ""annualized_return"": 4.983826946718396, ""r_squared"": 0.5612341977281505, ""close"": 0.991}]"
2026-04-22,159819,1,4.61789038026752,7.030017081672019,0.6568818150252916,1.777,False,"[{""symbol"": ""159819"", ""rank"": 1, ""momentum_score"": 4.61789038026752, ""annualized_return"": 7.030017081672019, ""r_squared"": 0.6568818150252916, ""close"": 1.777}, {""symbol"": ""515980"", ""rank"": 2, ""momentum_score"": 4.390749275977898, ""annualized_return"": 6.694218636291875, ""r_squared"": 0.65590168390587, ""close"": 1.021}, {""symbol"": ""562800"", ""rank"": 3, ""momentum_score"": 4.365607846257645, ""annualized_return"": 5.473392282446145, ""r_squared"": 0.7976055106188344, ""close"": 1.137}]"
2026-04-23,588200,1,4.6855319681670995,6.481537250457836,0.7229044263899167,2.735,False,"[{""symbol"": ""588200"", ""rank"": 1, ""momentum_score"": 4.6855319681670995, ""annualized_return"": 6.481537250457836, ""r_squared"": 0.7229044263899167, ""close"": 2.735}, {""symbol"": ""159509"", ""rank"": 2, ""momentum_score"": 4.551946109759016, ""annualized_return"": 6.4595585523046655, ""r_squared"": 0.7046837756637341, ""close"": 2.305}]"
2026-04-24,159949,1,4.896344888025747,6.759679832715361,0.7243456804460644,1.761,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 4.896344888025747, ""annualized_return"": 6.759679832715361, ""r_squared"": 0.7243456804460644, ""close"": 1.761}]"
2026-04-27,159995,1,4.286377244230278,5.65083590744587,0.7585386152484621,2.006,False,"[{""symbol"": ""159995"", ""rank"": 1, ""momentum_score"": 4.286377244230278, ""annualized_return"": 5.65083590744587, ""r_squared"": 0.7585386152484621, ""close"": 2.006}, {""symbol"": ""588220"", ""rank"": 2, ""momentum_score"": 4.179187018867801, ""annualized_return"": 4.8009756512755075, ""r_squared"": 0.8704870264771054, ""close"": 1.625}, {""symbol"": ""159915"", ""rank"": 3, ""momentum_score"": 4.165524154663384, ""annualized_return"": 5.478249046247571, ""r_squared"": 0.7603750978639128, ""close"": 3.652}, {""symbol"": ""588080"", ""rank"": 4, ""momentum_score"": 4.039387536759335, ""annualized_return"": 4.916558796987453, ""r_squared"": 0.8215883717762937, ""close"": 1.544}]"
2026-04-28,513100,1,3.6240683114457237,3.981529505077561,0.9102201319427685,1.963,True,"[{""symbol"": ""513100"", ""rank"": 1, ""momentum_score"": 3.6240683114457237, ""annualized_return"": 3.981529505077561, ""r_squared"": 0.9102201319427685, ""close"": 1.963}]"
2026-04-29,588080,1,4.831857759432757,5.510092035277118,0.8769105358854046,1.526,False,"[{""symbol"": ""588080"", ""rank"": 1, ""momentum_score"": 4.831857759432757, ""annualized_return"": 5.510092035277118, ""r_squared"": 0.8769105358854046, ""close"": 1.526}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 4.708466134810751, ""annualized_return"": 6.059481004889078, ""r_squared"": 0.7770411576522371, ""close"": 1.765}]"
2026-04-30,588220,1,4.437271017354161,4.8948670284900855,0.9065151293237319,1.662,False,"[{""symbol"": ""588220"", ""rank"": 1, ""momentum_score"": 4.437271017354161, ""annualized_return"": 4.8948670284900855, ""r_squared"": 0.9065151293237319, ""close"": 1.662}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 4.334550030483369, ""annualized_return"": 5.610643472541861, ""r_squared"": 0.7725584510397757, ""close"": 1.759}]"
2026-05-06,588790,1,4.708026457530788,5.60124578944754,0.8405320235009983,0.934,False,"[{""symbol"": ""588790"", ""rank"": 1, ""momentum_score"": 4.708026457530788, ""annualized_return"": 5.60124578944754, ""r_squared"": 0.8405320235009983, ""close"": 0.934}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 4.626909598318925, ""annualized_return"": 5.8028843364007034, ""r_squared"": 0.7973465142661814, ""close"": 1.809}]"
2026-05-07,159949,1,4.897577534813203,6.018829459214397,0.8137093047744295,1.838,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 4.897577534813203, ""annualized_return"": 6.018829459214397, ""r_squared"": 0.8137093047744295, ""close"": 1.838}, {""symbol"": ""513100"", ""rank"": 2, ""momentum_score"": 4.555265613816123, ""annualized_return"": 4.8353687002756205, ""r_squared"": 0.9420720313543968, ""close"": 2.054}, {""symbol"": ""515030"", ""rank"": 3, ""momentum_score"": 4.533454528926668, ""annualized_return"": 5.29734516801996, ""r_squared"": 0.855797457997471, ""close"": 2.182}]"
2026-05-08,513100,1,4.914815324577145,5.20075992355076,0.9450186889652868,2.065,False,"[{""symbol"": ""513100"", ""rank"": 1, ""momentum_score"": 4.914815324577145, ""annualized_return"": 5.20075992355076, ""r_squared"": 0.9450186889652868, ""close"": 2.065}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 4.760431310142566, ""annualized_return"": 5.8228182269588835, ""r_squared"": 0.8175476418106948, ""close"": 1.821}, {""symbol"": ""515030"", ""rank"": 3, ""momentum_score"": 4.666055074216809, ""annualized_return"": 5.3033571407470586, ""r_squared"": 0.8798304452035308, ""close"": 2.132}, {""symbol"": ""562800"", ""rank"": 4, ""momentum_score"": 4.612292059491077, ""annualized_return"": 5.338513635299399, ""r_squared"": 0.8639655856629477, ""close"": 1.183}, {""symbol"": ""159206"", ""rank"": 5, ""momentum_score"": 4.5930448408494335, ""annualized_return"": 5.824711642052242, ""r_squared"": 0.7885445878023155, ""close"": 1.979}]"
2026-05-11,159363,1,4.977207769398048,6.803369857810129,0.7315797719984776,1.352,False,"[{""symbol"": ""159363"", ""rank"": 1, ""momentum_score"": 4.977207769398048, ""annualized_return"": 6.803369857810129, ""r_squared"": 0.7315797719984776, ""close"": 1.352}, {""symbol"": ""562800"", ""rank"": 2, ""momentum_score"": 4.899119752044347, ""annualized_return"": 5.580025161679234, ""r_squared"": 0.8779744911705779, ""close"": 1.202}, {""symbol"": ""159915"", ""rank"": 3, ""momentum_score"": 4.693146865114418, ""annualized_return"": 5.522986295559055, ""r_squared"": 0.8497480554836977, ""close"": 3.947}, {""symbol"": ""562500"", ""rank"": 4, ""momentum_score"": 4.674099704305115, ""annualized_return"": 5.4115466884799, ""r_squared"": 0.8637271326246408, ""close"": 1.141}, {""symbol"": ""515030"", ""rank"": 5, ""momentum_score"": 4.667750321097917, ""annualized_return"": 5.215078438016395, ""r_squared"": 0.8950489195083594, ""close"": 2.14}, {""symbol"": ""159998"", ""rank"": 6, ""momentum_score"": 4.553585670544715, ""annualized_return"": 5.12933500661413, ""r_squared"": 0.8877536102970457, ""close"": 1.159}]"
2026-05-12,159949,1,4.9831323509095,5.998343073418548,0.8307514741849429,1.887,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 4.9831323509095, ""annualized_return"": 5.998343073418548, ""r_squared"": 0.8307514741849429, ""close"": 1.887}, {""symbol"": ""159363"", ""rank"": 2, ""momentum_score"": 4.69001935886739, ""annualized_return"": 6.410387744876904, ""r_squared"": 0.7316280302413205, ""close"": 1.368}, {""symbol"": ""159915"", ""rank"": 3, ""momentum_score"": 4.629658615934329, ""annualized_return"": 5.436720342651645, ""r_squared"": 0.8515535698266782, ""close"": 3.94}]"
2026-05-13,159915,1,4.9917070969075805,5.8216802160833945,0.8574340931879305,4.048,False,"[{""symbol"": ""159915"", ""rank"": 1, ""momentum_score"": 4.9917070969075805, ""annualized_return"": 5.8216802160833945, ""r_squared"": 0.8574340931879305, ""close"": 4.048}]"
2026-05-14,159949,1,4.873778895286116,5.828108588808401,0.8362539614730472,1.906,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 4.873778895286116, ""annualized_return"": 5.828108588808401, ""r_squared"": 0.8362539614730472, ""close"": 1.906}, {""symbol"": ""159915"", ""rank"": 2, ""momentum_score"": 4.525880396901072, ""annualized_return"": 5.294088509285399, ""r_squared"": 0.8548932245773841, ""close"": 3.961}]"
2026-05-15,513100,1,4.936714084511129,5.2037188839129636,0.9486896188363928,2.1,True,"[{""symbol"": ""513100"", ""rank"": 1, ""momentum_score"": 4.936714084511129, ""annualized_return"": 5.2037188839129636, ""r_squared"": 0.9486896188363928, ""close"": 2.1}]"
2026-05-18,513100,1,4.156447110469669,4.454548152155502,0.9330793985150692,2.066,True,"[{""symbol"": ""513100"", ""rank"": 1, ""momentum_score"": 4.156447110469669, ""annualized_return"": 4.454548152155502, ""r_squared"": 0.9330793985150692, ""close"": 2.066}]"
2026-05-19,511880,999,,,,100.459,True,[]
2026-05-20,511880,999,,,,100.475,True,[]
