trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2024-07-01,159509,159509,1390100,4553.988094248343,2386801.7,2391355.6880942485
2024-07-02,159509,159509,1390100,4553.988094248343,2358999.7,2363553.6880942485
2024-07-03,159509,159509,1390100,4553.988094248343,2325637.3000000003,2330191.2880942486
2024-07-04,501018,501018,1720000,4446.472763848491,2306520.0,2310966.4727638485
2024-07-05,501018,501018,1720000,4446.472763848491,2320280.0,2324726.4727638485
2024-07-08,501018,501018,1720000,4446.472763848491,2303080.0,2307526.4727638485
2024-07-09,501018,501018,1720000,4446.472763848491,2289320.0,2293766.4727638485
2024-07-10,513520,513520,1423100,4344.915601578075,2255613.5,2259958.415601578
2024-07-11,513520,513520,1423100,4344.915601578075,2239959.4,2244304.315601578
2024-07-12,513520,513520,1423100,4344.915601578075,2126111.4,2130456.315601578
2024-07-15,159529,159529,1904200,4144.958040070254,2165075.4,2169220.35804007
2024-07-16,512800,512800,3279300,4112.454768919386,2143089.9075970734,2147202.3623659927
2024-07-17,513400,513400,1893200,4128.626786061563,2160141.2,2164269.8267860617
2024-07-18,513520,513520,1436600,4119.512331721373,2147717.0,2151836.5123317214
2024-07-19,513520,513520,1436600,4119.512331721373,2116111.8000000003,2120231.3123317217
2024-07-22,513520,513520,1436600,4119.512331721373,2091689.5999999999,2095809.1123317212
2024-07-23,513290,513290,1598200,4130.643483169377,2106427.6,2110558.2434831695
2024-07-24,513290,513290,1598200,4130.643483169377,2047294.2,2051424.8434831693
2024-07-25,511880,511880,20200,12914.099109473405,2040684.8,2053598.8991094735
2024-07-26,511880,511880,20200,12914.099109473405,2040907.0,2053821.0991094734
2024-07-29,159502,159502,1834300,3986.0826012117323,2048913.1,2052899.1826012118
2024-07-30,159502,159502,1834300,3986.0826012117323,2003055.6,2007041.6826012118
2024-07-31,513400,513400,1831800,3878.2335279716644,1996662.0000000002,2000540.233527972
2024-08-01,159502,159502,1832600,3832.1699106835295,2004864.4000000001,2008696.5699106837
2024-08-02,159502,159502,1832600,3832.1699106835295,1948053.7999999998,1951885.9699106833
2024-08-05,518880,518880,341700,3785.5780594395474,1833562.2,1837347.7780594395
2024-08-06,511880,511880,18000,3689.5678909998387,1819421.9999999998,1823111.5678909996
2024-08-07,511880,511880,18000,3689.5678909998387,1819512.0,1823201.5678909998
2024-08-08,511880,511880,18000,3689.5678909998387,1819421.9999999998,1823111.5678909996
2024-08-09,511880,511880,18000,3689.5678909998387,1819710.0,1823399.5678909998
2024-08-12,511880,511880,18000,3689.5678909998387,1819782.0,1823471.5678909998
2024-08-13,511880,511880,18000,3689.5678909998387,1819818.0,1823507.5678909998
2024-08-14,511880,511880,18000,3689.5678909998387,1819854.0,1823543.5678909998
2024-08-15,511880,511880,18000,3689.5678909998387,1819908.0,1823597.5678909998
2024-08-16,511880,511880,18000,3689.5678909998387,1820178.0,1823867.5678909998
2024-08-19,511880,511880,18000,3689.5678909998387,1820196.0,1823885.5678909998
2024-08-20,511880,511880,18000,3689.5678909998387,1820322.0,1824011.5678909998
2024-08-21,511880,511880,18000,3689.5678909998387,1820286.0,1823975.5678909998
2024-08-22,518880,518880,329500,3470.978944429895,1819828.5,1823299.47894443
2024-08-23,518880,518880,329500,3470.978944429895,1813567.9999999998,1817038.9789444297
2024-08-26,518880,518880,329500,3470.978944429895,1824771.0,1828241.97894443
2024-08-27,518880,518880,329500,3470.978944429895,1823453.0,1826923.97894443
2024-08-28,518880,518880,329500,3470.978944429895,1821475.9999999998,1824946.9789444297
2024-08-29,513520,513520,1232400,3622.2701100378763,1822719.6,1826341.870110038
2024-08-30,513030,513030,1296300,3613.116146599874,1831671.9000000001,1835285.0161466
2024-09-02,513190,513190,1701600,3525.600086072227,1836026.4,1839552.0000860721
2024-09-03,513030,513030,1272900,3487.022049338091,1811336.7,1814823.722049338
2024-09-04,513030,513030,1272900,3487.022049338091,1760420.7,1763907.722049338
2024-09-05,511880,511880,17400,11160.2879538259,1760775.6,1771935.887953826
2024-09-06,511880,511880,17400,11160.2879538259,1760984.4000000001,1772144.687953826
2024-09-09,159529,159529,1598300,3420.5641394297127,1767719.8,1771140.3641394298
2024-09-10,159985,159985,928000,3437.7539557500277,1789184.0,1792621.75395575
2024-09-11,159529,159529,1601100,3475.4114810000174,1801237.5,1804712.911481
2024-09-12,159529,159529,1601100,3475.4114810000174,1812445.1999999997,1815920.6114809997
2024-09-13,518880,518880,324500,3847.0338556098286,1820769.5,1824616.5338556098
2024-09-18,159985,159985,913900,3482.7008941117674,1819574.9000000001,1823057.600894112
2024-09-19,159985,159985,913900,3482.7008941117674,1779363.3,1782846.0008941118
2024-09-20,518880,518880,314000,3774.638070471585,1778182.0,1781956.6380704716
2024-09-23,159529,159529,1564300,3444.3450767155737,1792687.7999999998,1796132.1450767154
2024-09-24,159985,159985,914900,3445.324734549504,1799608.3,1803053.6247345496
2024-09-25,159985,159985,914900,3445.324734549504,1774906.0,1778351.3247345495
2024-09-26,513120,513120,2552900,3464.430887601804,1802347.4,1805811.8308876017
2024-09-27,159851,159851,3965300,3698.696294432273,1931345.0833812533,1935043.7796756856
2024-09-30,512200,512200,1258400,4195.673397052102,2122920.8000000003,2127116.4733970524
2024-10-08,515400,515400,2628800,4023.4825820121914,2076752.0,2080775.4825820122
2024-10-09,516190,516190,2234400,3876.355713436147,2015428.8,2019305.1557134362
2024-10-10,518880,518880,351300,4219.458353860071,1993978.8,1998198.2583538601
2024-10-11,159980,159980,1180000,3882.263905060012,2015440.0,2019322.26390506
2024-10-14,159980,159980,1180000,3882.263905060012,2023700.0,2027582.26390506
2024-10-15,512800,512800,2815900,3830.177226192085,2000331.6911648845,2004161.8683910766
2024-10-16,159766,159766,3129100,3981.602148754522,2055818.7000000002,2059800.3021487547
2024-10-17,161226,161226,2172000,3887.8808889142238,2032992.0000000002,2036879.8808889145
2024-10-18,161226,161226,2172000,3887.8808889142238,2041680.0,2045567.8808889142
2024-10-21,518880,518880,357600,4683.087433874607,2152752.0,2157435.0874338746
2024-10-22,159870,159870,3671500,4144.987343894318,2151499.0,2155643.9873438943
2024-10-23,513970,513970,2550700,4196.315415910445,2183399.2,2187595.5154159106
2024-10-24,510760,510760,2010600,4174.868328221608,2159384.4,2163559.2683282215
2024-10-25,512400,512400,2049400,4222.84094193019,2170314.6,2174537.4409419303
2024-10-28,510300,510300,541200,4241.126868025865,2189695.2,2193936.326868026
2024-10-29,560860,560860,2590500,4152.06463124603,2170839.0,2174991.064631246
2024-10-30,562800,562800,4325800,4122.287826278247,2154248.4,2158370.687826278
2024-10-31,161226,161226,2273400,4202.682013254147,2200651.1999999997,2204853.882013254
2024-11-01,518880,518880,355200,4448.917186950333,2149315.2,2153764.1171869505
2024-11-04,518880,518880,355200,4448.917186950333,2133331.2,2137780.1171869505
2024-11-05,588080,588080,2092800,4150.43933568662,2132563.1999999997,2136713.6393356863
2024-11-06,516160,516160,962800,4174.59602439031,2133564.8000000003,2137739.3960243906
2024-11-07,515400,515400,2438100,4103.8693150682375,2147966.1,2152069.9693150683
2024-11-08,515400,515400,2438100,4103.8693150682375,2216232.9,2220336.769315068
2024-11-11,562590,562590,5321400,4507.7156289042905,2363371.1036876356,2367878.81931654
2024-11-12,159998,159998,2328800,4433.975544931833,2291539.2,2295973.175544932
2024-11-13,562800,562800,3959000,4416.693524632137,2316015.0,2320431.693524632
2024-11-14,512880,512880,1742500,4214.838089382742,2204262.5,2208477.3380893827
2024-11-15,159529,159529,1720500,4079.003765081987,2116215.0,2120294.003765082
2024-11-18,159529,159529,1720500,4079.003765081987,2145463.5,2149542.503765082
2024-11-19,159529,159529,1720500,4079.003765081987,2148904.5,2152983.503765082
2024-11-20,159529,159529,1720500,4079.003765081987,2155786.5,2159865.503765082
2024-11-21,159529,159529,1720500,4079.003765081987,2142022.5,2146101.503765082
2024-11-22,159529,159529,1720500,4079.003765081987,2152345.5,2156424.503765082
2024-11-25,159529,159529,1720500,4079.003765081987,2238370.5,2242449.503765082
2024-11-26,511880,511880,23000,13796.202281982172,2334155.0,2347951.202281982
2024-11-27,159518,159518,2282800,4559.892398926429,2342152.8000000003,2346712.6923989267
2024-11-28,159518,159518,2282800,4559.892398926429,2346718.4,2351278.2923989263
2024-11-29,159518,159518,2282800,4559.892398926429,2355849.6,2360409.4923989265
2024-12-02,159518,159518,2282800,4559.892398926429,2353566.8,2358126.6923989262
2024-12-03,159518,159518,2282800,4559.892398926429,2344435.5999999996,2348995.492398926
2024-12-04,159518,159518,2282800,4559.892398926429,2333021.6,2337581.4923989265
2024-12-05,513400,513400,1856900,4404.371277704369,2263561.1,2267965.4712777045
2024-12-06,513400,513400,1856900,4404.371277704369,2230136.9,2234541.2712777043
2024-12-09,513400,513400,1856900,4404.371277704369,2230136.9,2234541.2712777043
2024-12-10,513400,513400,1856900,4404.371277704369,2217138.6,2221542.9712777045
2024-12-11,159529,159529,1590500,4337.226419994142,2212385.5,2216722.726419994
2024-12-12,159529,159529,1590500,4337.226419994142,2221928.5,2226265.726419994
2024-12-13,159529,159529,1590500,4337.226419994142,2220338.0,2224675.226419994
2024-12-16,159529,159529,1590500,4337.226419994142,2233062.0,2237399.226419994
2024-12-17,159529,159529,1590500,4337.226419994142,2361892.5,2366229.726419994
2024-12-18,520830,520830,2432700,4801.6585448384285,2466757.8,2471559.4585448382
2024-12-19,513400,513400,2055800,4649.863163494039,2434067.1999999997,2438717.0631634938
2024-12-20,501018,501018,1975100,4638.467527070083,2393821.1999999997,2398459.66752707
2024-12-23,511880,511880,23700,13556.495319097769,2407398.6,2420955.095319098
2024-12-24,513520,513520,1685300,4714.156828399748,2415034.9,2419749.0568283997
2024-12-25,159529,159529,1487000,4641.119201939087,2422323.0,2426964.119201939
2024-12-26,159529,159529,1487000,4641.119201939087,2455037.0,2459678.119201939
2024-12-27,515050,515050,5706400,4501.2209917767905,2357342.9717717716,2361844.1927635483
2024-12-30,515050,515050,5706400,4501.2209917767905,2345457.208888889,2349958.4298806656
2024-12-31,515050,515050,5706400,4501.2209917767905,2260275.908228228,2264777.1292200047
2025-01-02,513520,513520,1470100,4290.111409817822,2180158.3000000003,2184448.411409818
2025-01-03,159529,159529,1478400,4233.137964857742,2173248.0,2177481.1379648577
2025-01-06,501018,501018,1876700,4571.963894075714,2389039.0999999996,2393611.0638940753
2025-01-07,159509,159509,1434200,4583.372589951847,2382206.2,2386789.572589952
2025-01-08,501018,501018,1831000,4575.979853531811,2363821.0,2368396.979853532
2025-01-09,159509,159509,1425200,4476.7062609875575,2331627.1999999997,2336103.9062609873
2025-01-10,501018,501018,1794100,4510.429967326112,2316183.1,2320693.529967326
2025-01-13,501018,501018,1794100,4510.429967326112,2420240.9,2424751.329967326
2025-01-14,513310,513310,1600000,4643.516247325577,2392000.0,2396643.5162473256
2025-01-15,159518,159518,2057300,4632.024731089827,2398811.8,2403443.8247310896
2025-01-16,159518,159518,2057300,4632.024731089827,2398811.8,2403443.8247310896
2025-01-17,159518,159518,2057300,4632.024731089827,2446129.7,2450761.72473109
2025-01-20,520830,520830,2045800,4724.232523798011,2428364.6,2433088.832523798
2025-01-21,520830,520830,2045800,4724.232523798011,2471326.4,2476050.632523798
2025-01-22,513030,513030,1428400,4956.001992878038,2592546.0,2597502.001992878
2025-01-23,513030,513030,1428400,4956.001992878038,2592546.0,2597502.001992878
2025-01-24,513030,513030,1428400,4956.001992878038,2625399.2,2630355.201992878
2025-01-27,501018,501018,1815400,4513.089416170027,2361835.4,2366348.48941617
2025-02-05,159985,159985,1185600,4566.109516714234,2356972.8,2361538.909516714
2025-02-06,159985,159985,1185600,4566.109516714234,2334446.4,2339012.509516714
2025-02-07,159985,159985,1185600,4566.109516714234,2335632.0,2340198.1095167142
2025-02-10,562500,562500,2568900,4497.132268246729,2327423.4,2331920.5322682466
2025-02-11,562500,562500,2568900,4497.132268246729,2327423.4,2331920.5322682466
2025-02-12,562500,562500,2568900,4497.132268246729,2355681.3000000003,2360178.432268247
2025-02-13,159998,159998,2315900,4385.367169744335,2290425.1,2294810.4671697444
2025-02-14,159851,159851,3055800,4546.305433325935,2372450.0197814833,2376996.3252148093
2025-02-17,510900,510900,2222400,4708.272066164762,2420193.6,2424901.872066165
2025-02-18,588220,588220,2552900,4669.347212600987,2445678.1999999997,2450347.5472126007
2025-02-19,159732,159732,2838700,4876.143276323099,2546313.9,2551190.043276323
2025-02-20,513120,513120,3110600,5003.90884036338,2581798.0,2586801.9088403634
2025-02-21,588220,588220,2580800,5134.3631764911115,2689193.6,2694327.963176491
2025-02-24,588220,588220,2580800,5134.3631764911115,2689193.6,2694327.963176491
2025-02-25,588220,588220,2580800,5134.3631764911115,2686612.8,2691747.163176491
2025-02-26,588220,588220,2580800,5134.3631764911115,2740809.6,2745943.963176491
2025-02-27,588220,588220,2580800,5134.3631764911115,2738228.8,2743363.163176491
2025-02-28,159667,159667,7059700,5005.899982789066,2613171.989253486,2618177.889236275
2025-03-03,159985,159985,1272400,5109.716019065585,2595696.0,2600805.7160190656
2025-03-04,159985,159985,1272400,5109.716019065585,2566430.8,2571540.5160190654
2025-03-05,511880,511880,24700,14223.30176531151,2477187.6999999997,2491411.001765311
2025-03-06,518880,518880,380200,5340.876893171575,2484607.0,2489947.8768931716
2025-03-07,513330,513330,4453400,4741.827102294657,2480543.8000000003,2485285.627102295
2025-03-10,513180,513180,2995000,4681.572983294725,2425950.0,2430631.5729832947
2025-03-11,159892,159892,4302200,4662.913468434941,2430743.0,2435405.913468435
2025-03-12,159892,159892,4302200,4662.913468434941,2430743.0,2435405.913468435
2025-03-13,159323,159323,1886800,4607.344472771045,2403783.2,2408390.544472771
2025-03-14,159980,159980,1397400,4829.194036343135,2460821.4,2465650.594036343
2025-03-17,159323,159323,1891700,4803.791107811034,2455426.6,2460230.391107811
2025-03-18,159323,159323,1891700,4803.791107811034,2521636.1,2526439.891107811
2025-03-19,159323,159323,1891700,4803.791107811034,2504610.8000000003,2509414.5911078113
2025-03-20,159323,159323,1891700,4803.791107811034,2498935.6999999997,2503739.4911078108
2025-03-21,159323,159323,1891700,4803.791107811034,2387325.4,2392129.191107811
2025-03-24,518880,518880,356400,4795.906659970991,2416392.0,2421187.906659971
2025-03-25,513030,513030,1355700,4696.663877050858,2413146.0,2417842.663877051
2025-03-26,159980,159980,1384300,4746.654402749147,2432215.0999999996,2436961.754402749
2025-03-27,513030,513030,1379700,4714.553342120722,2431031.4,2435745.9533421206
2025-03-28,159980,159980,1386200,4608.397814636584,2413374.2,2417982.597814637
2025-03-31,161226,161226,2409000,4580.638175536413,2396955.0,2401535.6381755364
2025-04-01,511880,511880,23600,9441.167710984126,2369227.6,2378668.767710984
2025-04-02,520830,520830,2266600,4541.497908379883,2373130.1999999997,2377671.6979083796
2025-04-03,518880,518880,326700,4504.422256183345,2317609.8000000003,2322114.2222561836
2025-04-07,518880,518880,326700,4504.422256183345,2246715.9,2251220.3222561833
2025-04-08,511880,511880,22500,6704.177324833348,2259067.5,2265771.6773248333
2025-04-09,511880,511880,22500,6704.177324833348,2259180.0,2265884.1773248333
2025-04-10,511880,511880,22500,6704.177324833348,2259247.5,2265951.6773248333
2025-04-11,518880,518880,310800,4530.71659586532,2260448.4,2264979.116595865
2025-04-14,518880,518880,310800,4530.71659586532,2277231.6,2281762.3165958654
2025-04-15,518880,518880,310800,4530.71659586532,2276610.0,2281140.7165958653
2025-04-16,518880,518880,310800,4530.71659586532,2331932.4,2336463.116595865
2025-04-17,518880,518880,310800,4530.71659586532,2351202.0,2355732.7165958653
2025-04-18,518880,518880,310800,4530.71659586532,2356796.4,2361327.116595865
2025-04-21,518880,518880,310800,4530.71659586532,2400619.2,2405149.9165958655
2025-04-22,518880,518880,310800,4530.71659586532,2480805.6,2485336.3165958654
2025-04-23,159865,159865,3975900,4488.106778317131,2329877.4,2334365.506778317
2025-04-24,159865,159865,3975900,4488.106778317131,2349756.9,2354245.006778317
2025-04-25,511880,511880,23200,10548.113606269471,2330602.4,2341150.5136062694
2025-04-28,511880,511880,23200,10548.113606269471,2330556.0,2341104.1136062695
2025-04-29,518880,518880,310600,5203.712370665278,2334780.2,2339983.9123706655
2025-04-30,518880,518880,310600,5203.712370665278,2320492.6,2325696.3123706654
2025-05-06,518880,518880,310600,5203.712370665278,2364287.2,2369490.9123706655
2025-05-07,518880,518880,310600,5203.712370665278,2382612.6,2387816.3123706654
2025-05-08,518880,518880,310600,5203.712370665278,2347204.2,2352407.9123706655
2025-05-09,513030,513030,1251900,4613.675119681284,2338549.2,2343162.8751196815
2025-05-12,513520,513520,1643000,4613.679271261208,2377421.0,2382034.679271261
2025-05-13,513030,513030,1279200,4663.48428319674,2361403.2,2366066.684283197
2025-05-14,513030,513030,1279200,4663.48428319674,2371636.8000000003,2376300.284283197
2025-05-15,513030,513030,1279200,4663.48428319674,2323027.2,2327690.684283197
2025-05-16,513030,513030,1279200,4663.48428319674,2378032.8,2382696.2842831966
2025-05-19,513750,513750,1812300,4526.827477151062,2357802.3,2362329.127477151
2025-05-20,513750,513750,1812300,4526.827477151062,2386799.1,2391325.927477151
