date,ths_weak,jq_weak,ths_target,jq_target,target_match,ths_pool,jq_pool,threshold_ratio,top10_overlap
2025-12-01,True,False,161226,161226,True,17,114,0.994843462083805,4
2025-12-12,False,True,159206,159502,False,111,17,0.9953331303753604,3
2025-12-18,True,False,518880,515880,False,17,114,0.9980314988703836,0
2026-01-21,False,True,588080,518880,False,112,17,0.9951851176073576,0
2026-01-22,False,True,588080,518880,False,112,17,0.9977036730929324,0
2026-01-23,False,True,159870,159980,False,112,17,0.9982341732555314,0
2026-02-02,False,True,159326,159985,False,112,17,0.996353914386601,0
2026-02-24,False,True,513310,513310,True,112,17,0.9919269994096253,2
2026-03-18,False,True,159985,159985,True,112,17,0.9892460506913416,1
2026-03-19,False,True,159518,159518,True,112,17,0.9934847203716062,2
2026-03-20,False,True,159985,159985,True,112,17,0.9919019437219516,2
2026-03-23,False,True,159985,159985,True,112,17,0.991827762455665,1
2026-04-02,True,False,520830,512800,False,17,114,0.9940755443571376,0
2026-04-29,False,True,159516,513100,False,112,17,0.9948309632927368,1
2026-05-18,False,True,513100,513100,True,112,17,0.9945146851729008,1
2026-05-19,False,True,513100,511880,False,112,17,0.9893964864008358,0
2026-05-20,False,True,159967,511880,False,112,17,0.9957486100046992,0
2026-05-21,False,True,159967,159509,False,112,17,0.9986854786713644,2
2026-06-04,True,False,159509,159732,False,17,114,0.9956076387006144,2
2026-06-05,True,False,513520,159967,False,17,114,0.9981327989870624,1
2026-06-29,False,True,588220,159502,False,112,17,0.9982217812905492,3
2026-06-30,False,True,159502,159502,True,112,17,1.0010238187196938,4
