trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2026-05-26,159509,159509,573000,2919.662247115979,1524753.0,1527672.662247116
2026-05-27,515980,515980,1354100,2966.190174062038,1553152.7,1556118.890174062
2026-05-28,159819,159819,777500,3078.1274120619055,1586100.0,1589178.127412062
2026-05-29,515980,515980,1352300,2981.9374330358114,1529451.3,1532433.2374330359
2026-06-01,513100,513100,634400,2928.5900259155314,1500356.0000000002,1503284.5900259158
2026-06-02,513100,513100,634400,2928.5900259155314,1486399.2,1489327.7900259155
2026-06-03,513100,513100,634400,2928.5900259155314,1458485.5999999999,1461414.1900259154
2026-06-04,513100,513100,634400,2928.5900259155314,1421056.0000000002,1423984.5900259158
2026-06-05,515050,515050,1134100,2735.9880690092687,1398345.3,1401081.2880690093
2026-06-08,513520,513520,603900,2602.0006909132935,1347904.8,1350506.8006909133
2026-06-09,511880,511880,14100,5018.123565965099,1417247.4,1422265.523565965
2026-06-10,511880,511880,14100,5018.123565965099,1417289.7,1422307.823565965
2026-06-11,511880,511880,14100,5018.123565965099,1417374.3,1422392.4235659651
2026-06-12,511880,511880,14100,5018.123565965099,1417289.7,1422307.823565965
2026-06-15,511880,511880,14100,5018.123565965099,1417317.9000000001,1422336.0235659652
2026-06-16,513520,513520,577700,2837.973789341515,1418831.2,1421669.1737893415
2026-06-17,513520,513520,577700,2837.973789341515,1420564.3,1423402.2737893416
2026-06-18,513520,513520,577700,2837.973789341515,1460425.6,1463263.5737893416
2026-06-22,513520,513520,577700,2837.973789341515,1505486.2,1508324.1737893415
2026-06-23,515880,515880,1642900,2746.4388155925553,1413016.7753008234,1415763.214116416
2026-06-24,159516,159516,870100,2760.5483881300315,1438275.3,1441035.84838813
2026-06-25,588220,588220,701400,2976.5505490498617,1479954.0,1482930.5505490499
2026-06-26,588220,588220,701400,2976.5505490498617,1452599.4000000001,1455575.95054905
2026-06-29,513520,513520,602900,3108.9379508038983,1499412.3,1502521.237950804
2026-06-30,513310,513310,226800,3238.1242785716895,1516611.6,1519849.7242785718
2026-07-01,159502,159502,912700,2958.993166139582,1467621.6,1470580.5931661397
2026-07-02,159967,159967,1525300,2807.5152188618667,1468863.9,1471671.4152188618
2026-07-03,513290,513290,819500,2983.802148811985,1471002.5,1473986.302148812
2026-07-06,513400,513400,1044800,2809.8474520437885,1418838.4000000001,1421648.247452044
