trade_date,jq_top10_raw,is_weak,candidates_json,local_target,jq_target,target_match,local_top1
2021-05-13,"159980.XSHE:2.1531,161226.XSHE:0.8740,159985.XSHE:0.7850,501018.XSHG:0.7573,518880.XSHG:0.2905",True,"[{""symbol"": ""159980"", ""rank"": 1, ""momentum_score"": 2.135029156678864, ""annualized_return"": 2.598083674946275, ""r_squared"": 0.8217707448252273, ""close"": 1.393}]",159980,159980,True,159980
2021-05-14,518880.XSHG:0.3142,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 0.8372440571491558, ""annualized_return"": 1.0909299410229454, ""r_squared"": 0.7674590509121852, ""close"": 0.907}]",161226,518880,False,161226
2021-05-17,"159992.XSHE:3.2190,515120.XSHG:3.2171,512010.XSHG:2.2676,512170.XSHG:1.8794,159980.XSHE:1.8377,159967.XSHE:1.4481,159949.XSHE:1.4284,161226.XSHE:0.8930,159915.XSHE:0.8806,516160.XSHG:0.6972",False,"[{""symbol"": ""159992"", ""rank"": 1, ""momentum_score"": 3.145133960439095, ""annualized_return"": 3.948644344231136, ""r_squared"": 0.7965098110276889, ""close"": 1.591}, {""symbol"": ""515120"", ""rank"": 2, ""momentum_score"": 3.128814386610192, ""annualized_return"": 3.9058091622017965, ""r_squared"": 0.8010668869562501, ""close"": 1.178}]",159992,159992,True,159992
2021-05-18,"159992.XSHE:3.3638,515120.XSHG:3.3383,515220.XSHG:3.1212,512010.XSHG:2.5356,512400.XSHG:1.9386,512170.XSHG:1.9277,159980.XSHE:1.8618,159967.XSHE:1.5174,159949.XSHE:1.5003,161226.XSHE:1.1041",False,"[{""symbol"": ""159837"", ""rank"": 1, ""momentum_score"": 3.7620538524605873, ""annualized_return"": 4.474749246480244, ""r_squared"": 0.8407295348269515, ""close"": 1.037}, {""symbol"": ""159992"", ""rank"": 2, ""momentum_score"": 3.40347391999896, ""annualized_return"": 4.1564005922072385, ""r_squared"": 0.8188512739556608, ""close"": 1.566}, {""symbol"": ""515120"", ""rank"": 3, ""momentum_score"": 3.391507973256734, ""annualized_return"": 4.119640201846082, ""r_squared"": 0.8232534413410524, ""close"": 1.16}]",159837,159992,False,159837
2021-05-19,"515120.XSHG:3.5966,159992.XSHE:3.5926,512010.XSHG:2.9505,515220.XSHG:2.2172,512400.XSHG:2.0370,512170.XSHG:1.9643,159967.XSHE:1.7331,159980.XSHE:1.7267,159949.XSHE:1.6644,161226.XSHE:1.1627",False,"[{""symbol"": ""159837"", ""rank"": 1, ""momentum_score"": 3.9441115100666764, ""annualized_return"": 4.577400875250784, ""r_squared"": 0.8616486992414858, ""close"": 1.035}, {""symbol"": ""515120"", ""rank"": 2, ""momentum_score"": 3.611422893934356, ""annualized_return"": 4.252351788841501, ""r_squared"": 0.8492766058092862, ""close"": 1.157}, {""symbol"": ""159992"", ""rank"": 3, ""momentum_score"": 3.6037497648999235, ""annualized_return"": 4.266603434740462, ""r_squared"": 0.8446413687188952, ""close"": 1.56}]",159837,515120,False,159837
2021-05-20,"515120.XSHG:3.5922,159992.XSHE:3.5603,512010.XSHG:3.1074,512170.XSHG:2.0334,159967.XSHE:1.8450,512400.XSHG:1.8289,159949.XSHE:1.7407,159980.XSHE:1.2235,161226.XSHE:1.1585,159915.XSHE:1.1371",False,"[{""symbol"": ""515120"", ""rank"": 1, ""momentum_score"": 3.547572509583984, ""annualized_return"": 4.156719079889118, ""r_squared"": 0.8534549584425168, ""close"": 1.159}, {""symbol"": ""159992"", ""rank"": 2, ""momentum_score"": 3.482949818261732, ""annualized_return"": 4.117793726612464, ""r_squared"": 0.8458291137198386, ""close"": 1.561}]",515120,515120,True,515120
2021-05-21,"515120.XSHG:3.0341,159992.XSHE:2.9229,512010.XSHG:2.6998,512170.XSHG:1.9619,159967.XSHE:1.7976,159949.XSHE:1.6512,159915.XSHE:1.1184,515030.XSHG:1.0645,516160.XSHG:1.0162,161226.XSHE:0.9430",False,"[{""symbol"": ""515120"", ""rank"": 1, ""momentum_score"": 2.8998959192556435, ""annualized_return"": 3.537444468419987, ""r_squared"": 0.8197714324971137, ""close"": 1.138}, {""symbol"": ""159992"", ""rank"": 2, ""momentum_score"": 2.7478675891948683, ""annualized_return"": 3.4182721072459046, ""r_squared"": 0.8038761991387573, ""close"": 1.529}]",515120,515120,True,515120
2021-05-24,"515120.XSHG:2.1222,512010.XSHG:2.0606,159992.XSHE:2.0378,512170.XSHG:1.7063,159967.XSHE:1.5876,159949.XSHE:1.4779,515030.XSHG:1.0295,159915.XSHE:1.0128,516160.XSHG:0.9236,512690.XSHG:0.8769",False,"[{""symbol"": ""515120"", ""rank"": 1, ""momentum_score"": 2.1887607123180346, ""annualized_return"": 2.8630199566822894, ""r_squared"": 0.7644936973664702, ""close"": 1.128}, {""symbol"": ""159992"", ""rank"": 2, ""momentum_score"": 2.0378321188373465, ""annualized_return"": 2.7393363897555356, ""r_squared"": 0.743914521217019, ""close"": 1.519}]",515120,515120,True,515120
2021-05-25,"512010.XSHG:1.8970,515120.XSHG:1.8451,512170.XSHG:1.7593,159992.XSHE:1.7082,159967.XSHE:1.6547,159949.XSHE:1.6058,515030.XSHG:1.1318,512690.XSHG:1.1232,159915.XSHE:1.1202,515170.XSHG:1.0292",False,"[{""symbol"": ""515120"", ""rank"": 1, ""momentum_score"": 1.9064682269346531, ""annualized_return"": 2.5555950703676795, ""r_squared"": 0.7459977713372115, ""close"": 1.157}, {""symbol"": ""159929"", ""rank"": 2, ""momentum_score"": 1.7996125344494907, ""annualized_return"": 2.285437778983198, ""r_squared"": 0.787425740047995, ""close"": 2.63}, {""symbol"": ""159992"", ""rank"": 3, ""momentum_score"": 1.780174891864345, ""annualized_return"": 2.4525056583400757, ""r_squared"": 0.7258596471778243, ""close"": 1.562}, {""symbol"": ""159967"", ""rank"": 4, ""momentum_score"": 1.7455245664413275, ""annualized_return"": 2.546966785477401, ""r_squared"": 0.685334640559181, ""close"": 0.742}]",515120,512010,False,515120
2021-05-26,"512010.XSHG:1.7689,512170.XSHG:1.7209,159967.XSHE:1.6939,159949.XSHE:1.6612,515120.XSHG:1.5569,159992.XSHE:1.4438,512690.XSHG:1.2869,515170.XSHG:1.2482,515030.XSHG:1.1926,159915.XSHE:1.1902",False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 1.71924792114289, ""annualized_return"": 2.5020473163467836, ""r_squared"": 0.6871364541791113, ""close"": 0.735}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.6612353827635102, ""annualized_return"": 2.3129538359908937, ""r_squared"": 0.718231102114418, ""close"": 1.385}, {""symbol"": ""159929"", ""rank"": 3, ""momentum_score"": 1.594260831887642, ""annualized_return"": 2.054138171770672, ""r_squared"": 0.7761215159705568, ""close"": 2.628}, {""symbol"": ""515120"", ""rank"": 4, ""momentum_score"": 1.5847717107048276, ""annualized_return"": 2.1983472181465276, ""r_squared"": 0.7208923584150558, ""close"": 1.155}]",159967,512010,False,159967
2021-05-27,"512170.XSHG:1.6789,159967.XSHE:1.6527,159949.XSHE:1.6205,512010.XSHG:1.5317,515170.XSHG:1.5287,512690.XSHG:1.5062,515120.XSHG:1.2212,159915.XSHE:1.2065,515030.XSHG:1.1875,159992.XSHE:1.1397",False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 1.6881018045572602, ""annualized_return"": 2.4341328741594683, ""r_squared"": 0.6935125943525904, ""close"": 0.742}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.6507904279254924, ""annualized_return"": 2.277573772049358, ""r_squared"": 0.7248021768533597, ""close"": 1.396}, {""symbol"": ""515170"", ""rank"": 3, ""momentum_score"": 1.5567345967057338, ""annualized_return"": 2.434983593310797, ""r_squared"": 0.6393203637931186, ""close"": 1.002}]",159967,512170,False,159967
2021-05-28,"159949.XSHE:1.9221,515030.XSHG:1.8749,515170.XSHG:1.8635,159967.XSHE:1.8631,512690.XSHG:1.8008,512170.XSHG:1.7767,512880.XSHG:1.4575,159915.XSHE:1.4451,512010.XSHG:1.4284,516160.XSHG:1.1358",False,"[{""symbol"": ""515170"", ""rank"": 1, ""momentum_score"": 1.8098752706981198, ""annualized_return"": 2.6896340797668854, ""r_squared"": 0.6729076212683118, ""close"": 0.995}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.7798631510172227, ""annualized_return"": 2.409817618419273, ""r_squared"": 0.7385883219597047, ""close"": 1.403}, {""symbol"": ""159967"", ""rank"": 3, ""momentum_score"": 1.7213614152663999, ""annualized_return"": 2.462370982460099, ""r_squared"": 0.6990666424872448, ""close"": 0.742}]",515170,159949,False,515170
2021-05-31,"515030.XSHG:2.6894,159949.XSHE:2.0081,515170.XSHG:1.9830,512690.XSHG:1.9502,512880.XSHG:1.8598,159967.XSHE:1.8244,512670.XSHG:1.7512,159915.XSHE:1.5224,512170.XSHG:1.4759,516160.XSHG:1.4339",False,"[{""symbol"": ""515030"", ""rank"": 1, ""momentum_score"": 2.746099084470818, ""annualized_return"": 4.086937949556911, ""r_squared"": 0.6719209144754787, ""close"": 1.892}]",515030,515030,True,515030
