trade_date,jq_weak,local_weak,below_count,above_count,weak_days_count,match,000300_close,000300_ma10,000300_relation,399101_close,399101_ma10,399101_relation,399006_close,399006_ma10,399006_relation,000510_close,000510_ma10,000510_relation
2020-09-23,True,False,1,3,0,False,4652.327,4655.547199999999,below,12294.681,12250.6305,above,2599.885,2562.0254999999997,above,5281.51,5278.5554,above
2020-09-24,False,True,4,0,0,False,4563.066,4653.656,below,12034.114,12257.3718,below,2535.868,2567.3092,below,5168.304,5278.030000000001,below
2020-10-09,True,False,0,4,0,False,4681.141,4629.193700000001,above,12441.061,12194.490000000002,above,2672.934,2572.9341,above,5324.931,5244.236,above
2020-10-22,False,True,4,0,0,False,4777.985,4786.0782,below,12469.869,12656.758,below,2673.585,2726.6112999999996,below,5401.811,5434.5705,below
2020-10-29,True,False,0,4,0,False,4772.92,4753.063899999999,above,12526.799,12495.3094,above,2699.923,2676.8620999999994,above,5409.417,5386.639300000001,above
2020-10-30,False,True,4,0,0,False,4695.334,4743.429700000001,below,12239.678,12454.840999999999,below,2655.865,2669.9989,below,5326.331,5375.7266,below
2020-11-03,True,False,0,4,0,False,4777.561,4738.3734,above,12476.228,12409.2022,above,2744.314,2672.2439,above,5433.065,5371.392900000001,above
2020-11-13,False,True,4,0,0,False,4856.851,4868.8315999999995,below,12524.299,12596.3034,below,2706.813,2740.0269,below,5522.1,5528.9521,below
2020-11-20,True,False,1,3,0,False,4943.288,4916.7345000000005,above,12625.575,12596.941900000002,above,2667.093,2697.949,below,5598.925,5572.4537,above
2020-11-25,False,True,4,0,0,False,4910.7,4921.723399999999,below,12444.6,12560.543500000002,below,2615.531,2668.7437,below,5554.243,5574.8069000000005,below
2020-12-01,True,False,0,4,0,False,5067.098,4958.0668,above,12620.641,12533.8236,above,2698.443,2646.8322,above,5696.531,5598.7617,above
2020-12-09,False,True,3,1,0,False,4942.699,5009.264,below,12468.241,12574.7411,below,2697.826,2685.5626,above,5586.105,5644.9635,below
2020-12-17,True,False,1,3,0,False,5017.478,4972.2163,above,12387.082,12461.120599999998,below,2785.615,2733.9462999999996,above,5676.675,5621.5774,above
2021-01-15,False,True,4,0,0,False,5458.081,5460.6998,below,13066.273,13209.454099999999,below,3089.945,3118.6987999999997,below,6193.471,6199.793500000001,below
2021-01-18,True,False,0,4,0,False,5518.521,5485.7801,above,13304.869,13237.9367,above,3149.2,3125.8077000000003,above,6271.028,6226.0707999999995,above
2021-01-19,False,True,4,0,0,False,5437.523,5492.6819000000005,below,13182.138,13225.1241,below,3084.488,3124.4588000000003,below,6172.688,6232.9212,below
2021-01-21,True,False,0,4,0,False,5564.969,5503.6897,above,13497.183,13244.285599999997,above,3283.721,3145.5752,above,6338.65,6250.1323,above
2021-01-28,False,True,4,0,0,False,5377.143,5506.9341,below,13030.98,13320.542300000001,below,3161.863,3222.7012999999997,below,6118.353,6269.6258,below
2021-02-08,True,False,1,3,0,False,5564.562,5469.5944,above,12987.059,13103.621799999999,below,3278.06,3211.4887000000003,above,6305.531,6212.3125,above
2021-02-23,False,True,3,1,0,False,5579.668,5622.5318,below,13343.852,13280.084700000001,above,3112.357,3250.0842000000002,below,6350.444,6378.8707,below
2021-03-18,True,False,0,4,0,False,5141.768,5094.955900000001,above,12417.392,12341.4515,above,2748.726,2718.335,above,5852.633,5795.8014,above
2021-03-19,False,True,4,0,0,False,5007.091,5069.385399999999,below,12173.148,12271.845,below,2671.518,2698.2896,below,5699.517,5766.8968,below
2021-03-26,True,False,0,4,0,False,5037.99,5032.4043,above,12220.721,12189.915799999999,above,2745.4,2684.2868,above,5725.547,5720.440200000001,above
2021-04-09,False,True,4,0,0,False,5035.337,5089.1922,below,12254.606,12304.9355,below,2783.327,2792.5944,below,5747.936,5794.454,below
2021-04-19,True,False,0,4,0,False,5087.017,5026.1821,above,12470.538,12208.6897,above,2898.729,2798.9076,above,5832.822,5742.111999999999,above
