date,time,weak,threshold,pool
2021-07-26,09:40:00,False,1063028.0,64
2021-07-27,09:40:00,True,1195553.0,9
2021-07-28,09:40:00,True,1379769.0,9
2021-07-29,09:40:00,True,1555154.0,9
2021-07-30,09:40:00,True,1484332.0,9
2021-08-02,09:40:00,True,1327162.0,9
2021-08-03,09:40:00,False,1262901.0,65
2021-08-04,09:40:00,False,1205419.0,65
2021-08-05,09:40:00,False,1239647.0,65
2021-08-06,09:40:00,False,1117887.0,65
2021-08-09,09:40:00,False,1022554.0,65
2021-08-10,09:40:00,False,992817.0,65
2021-08-11,09:40:00,False,1052551.0,65
2021-08-12,09:40:00,False,1076507.0,65
2021-08-13,09:40:00,False,1013126.0,65
2021-08-16,09:40:00,False,916380.0,65
2021-08-17,09:40:00,True,917239.0,9
2021-08-18,09:40:00,True,1013907.0,9
2021-08-19,09:40:00,True,1129049.0,9
2021-08-20,09:40:00,True,1183832.0,9
2021-08-23,09:40:00,True,1206356.0,9
2021-08-24,09:40:00,True,1150039.0,9
2021-08-25,09:40:00,False,1188600.0,66
2021-08-26,09:40:00,False,1072543.0,67
2021-08-27,09:40:00,False,1038294.0,67
2021-08-30,09:40:00,False,911688.0,67
2021-08-31,09:40:00,False,956084.0,67
2021-09-01,09:40:00,False,989063.0,67
2021-09-02,09:40:00,True,1155954.0,9
2021-09-03,09:40:00,True,1165072.0,9
2021-09-06,09:40:00,True,1200115.0,9
2021-09-07,09:40:00,False,1144832.0,67
2021-09-08,09:40:00,False,1165937.0,67
2021-09-09,09:40:00,False,1107166.0,67
2021-09-10,09:40:00,False,1011177.0,67
2021-09-13,09:40:00,False,1023198.0,67
2021-09-14,09:40:00,False,1021865.0,67
2021-09-15,09:40:00,False,1064255.0,67
2021-09-16,09:40:00,False,973290.0,67
2021-09-17,09:40:00,True,997647.0,9
2021-09-22,09:40:00,True,1041436.0,9
2021-09-23,09:40:00,True,1025171.0,9
2021-09-24,09:40:00,True,978993.0,9
2021-09-27,09:40:00,True,938304.0,9
2021-09-28,09:40:00,True,1075616.0,9
2021-09-29,09:40:00,True,1051627.0,9
2021-09-30,09:40:00,True,1073623.0,9
2021-10-08,09:40:00,True,943852.0,9
2021-10-11,09:40:00,True,956469.0,9
2021-10-12,09:40:00,True,898846.0,9
2021-10-13,09:40:00,True,960381.0,9
2021-10-14,09:40:00,True,960902.0,9
2021-10-15,09:40:00,True,913811.0,9
2021-10-18,09:40:00,False,861920.0,69
2021-10-19,09:40:00,False,881879.0,69
2021-10-20,09:40:00,False,902338.0,68
2021-10-21,09:40:00,False,866050.0,69
2021-10-22,09:40:00,False,824478.0,70
2021-10-25,09:40:00,False,824068.0,70
2021-10-26,09:40:00,False,844649.0,70
2021-10-27,09:40:00,False,835178.0,70
2021-10-28,09:40:00,False,833316.0,69
2021-10-29,09:40:00,True,848545.0,9
2021-11-01,09:40:00,True,909547.0,9
2021-11-02,09:40:00,False,918115.0,69
2021-11-03,09:40:00,False,1011290.0,69
2021-11-04,09:40:00,False,973011.0,69
2021-11-05,09:40:00,False,955202.0,68
2021-11-08,09:40:00,False,832818.0,70
2021-11-09,09:40:00,False,817710.0,70
2021-11-10,09:40:00,False,845677.0,69
2021-11-11,09:40:00,False,919897.0,69
2021-11-12,09:40:00,False,994173.0,70
2021-11-15,09:40:00,False,958661.0,70
2021-11-16,09:40:00,False,889287.0,70
