date,weak,pool,passed,target,target_raw,top10_raw,top10
2026-01-08,False,112,61,561330,561330.XSHG,561330.XSHG:4.7968:5.9047:0.8124:2.0460:0|159516.XSHE:4.7588:6.4765:0.7348:1.8020:0|560860.XSHG:4.6947:6.1723:0.7606:1.7120:0|512400.XSHG:4.5241:5.5456:0.8158:2.0480:0|159870.XSHE:4.2945:5.0372:0.8526:0.8540:0|513310.XSHG:4.1710:8.4966:0.4909:3.1020:0|562800.XSHG:4.1679:5.0502:0.8253:0.9970:0|561980.XSHG:3.9969:5.5351:0.7221:2.3530:0|159583.XSHE:3.3767:3.9366:0.8578:1.3500:0|159667.XSHE:3.0591:3.6805:0.8312:1.6590:0,"['561330', '159516', '560860', '512400', '159870', '513310', '562800', '561980', '159583', '159667']"
2026-01-09,False,112,57,561980,561980.XSHG,561980.XSHG:4.8262:6.4996:0.7425:2.3170:0|159870.XSHE:4.5866:5.2216:0.8784:0.8510:0|159667.XSHE:3.4510:4.1180:0.8380:1.6950:0|588220.XSHG:3.3544:4.2958:0.7809:1.5070:0|159583.XSHE:3.2409:3.7740:0.8588:1.3620:0|516150.XSHG:3.1348:4.3535:0.7201:2.0280:0|516520.XSHG:2.5300:3.0190:0.8380:1.3670:0|510500.XSHG:2.4975:2.9569:0.8446:8.1470:0|512480.XSHG:2.3799:3.3435:0.7118:1.6040:0|512980.XSHG:2.3158:4.0735:0.5685:1.1390:0,"['561980', '159870', '159667', '588220', '159583', '516150', '516520', '510500', '512480', '512980']"
2026-01-12,False,112,55,159870,159870.XSHE,159870.XSHE:4.7080:5.2616:0.8948:0.8480:0|516150.XSHG:4.6250:6.2147:0.7442:2.0910:0|588220.XSHG:4.4920:5.7328:0.7836:1.5520:0|159667.XSHE:3.9872:4.7573:0.8381:1.7240:0|159583.XSHE:3.6239:4.2082:0.8611:1.4240:0|588790.XSHG:3.3031:5.2147:0.6334:0.9210:0|510500.XSHG:3.1767:3.7841:0.8395:8.3510:0|516520.XSHG:3.1567:3.7302:0.8462:1.4070:0|512480.XSHG:3.0853:4.2035:0.7340:1.6380:0|588200.XSHG:2.7488:4.0730:0.6749:2.6250:0,"['159870', '516150', '588220', '159667', '159583', '588790', '510500', '516520', '512480', '588200']"
2026-01-13,False,114,56,159256,159256.XSHE,159256.XSHE:4.8610:8.9968:0.5403:1.2200:0|159870.XSHE:4.6140:5.1212:0.9010:0.8530:0|159667.XSHE:4.2795:5.0418:0.8488:1.7050:0|159869.XSHE:3.9984:5.8731:0.6808:1.7340:0|510500.XSHG:3.8164:4.4841:0.8511:8.3300:0|516520.XSHG:3.6128:4.1860:0.8631:1.3920:0|512480.XSHG:3.5231:4.5932:0.7670:1.6000:0|159852.XSHE:3.4382:6.1137:0.5624:1.0400:0|516510.XSHG:3.4007:5.6397:0.6030:1.9890:0|515400.XSHG:3.2676:6.0753:0.5378:1.1120:0,"['159256', '159870', '159667', '159869', '510500', '516520', '512480', '159852', '516510', '515400']"
2026-01-14,False,114,45,159870,159870.XSHE,159870.XSHE:4.4486:4.9059:0.9068:0.8510:0|510500.XSHG:4.4212:5.0277:0.8794:8.3650:0|159667.XSHE:4.3814:5.0661:0.8648:1.6960:0|159851.XSHE:4.0813:5.4508:0.7488:0.9720:0|516520.XSHG:3.7860:4.2841:0.8837:1.3860:0|517520.XSHG:3.4958:4.2042:0.8315:2.3160:0|562500.XSHG:3.4363:4.4484:0.7725:1.0870:0|159980.XSHE:3.3222:3.7677:0.8818:2.1770:0|512100.XSHG:2.9247:3.5461:0.8248:3.3530:0|588080.XSHG:2.5346:3.4911:0.7260:1.5280:0,"['159870', '510500', '159667', '159851', '516520', '517520', '562500', '159980', '512100', '588080']"
2026-01-15,False,114,48,510500,510500.XSHG,510500.XSHG:4.8154:5.3075:0.9073:8.2830:0|159870.XSHE:4.6397:5.0215:0.9240:0.8650:0|159667.XSHE:4.6105:5.1764:0.8907:1.6860:0|517520.XSHG:4.5124:5.3006:0.8513:2.3300:0|562500.XSHG:3.9996:4.7838:0.8361:1.0740:0|516520.XSHG:3.7334:4.1637:0.8967:1.3720:0|159980.XSHE:3.7166:4.0703:0.9131:2.1610:0|512100.XSHG:3.1653:3.6717:0.8621:3.3060:0|588080.XSHG:2.9841:3.8082:0.7836:1.5050:0|563300.XSHG:2.7511:3.1678:0.8685:1.4570:0,"['510500', '159870', '159667', '517520', '562500', '516520', '159980', '512100', '588080', '563300']"
2026-01-16,False,114,51,562500,562500.XSHG,562500.XSHG:4.9865:5.6252:0.8865:1.1040:0|159995.XSHE:4.3884:5.0997:0.8605:1.9570:0|159870.XSHE:4.3092:4.6975:0.9173:0.8620:0|159363.XSHE:3.9300:5.0066:0.7850:1.0900:0|516520.XSHG:3.8277:4.2058:0.9101:1.3850:0|588080.XSHG:3.6636:4.3695:0.8384:1.5270:0|159980.XSHE:3.6327:3.9893:0.9106:2.1310:0|512100.XSHG:3.5078:3.9330:0.8919:3.3250:0|159819.XSHE:3.2179:3.8095:0.8447:1.6750:0|159583.XSHE:3.0576:3.6537:0.8369:1.3700:0,"['562500', '159995', '159870', '159363', '516520', '588080', '159980', '512100', '159819', '159583']"
2026-01-19,False,114,47,159870,159870.XSHE,159870.XSHE:4.3189:4.6997:0.9190:0.8850:0|588080.XSHG:4.3143:4.8891:0.8824:1.5370:0|159363.XSHE:4.2029:5.0700:0.8290:1.0770:0|159326.XSHE:4.0334:5.0660:0.7962:1.7780:0|512100.XSHG:3.7749:4.1103:0.9184:3.3130:0|516520.XSHG:3.7348:4.0837:0.9146:1.3840:0|159819.XSHE:3.5295:3.9695:0.8892:1.6600:0|563300.XSHG:3.4669:3.7085:0.9349:1.4910:0|159583.XSHE:2.8183:3.3737:0.8354:1.3610:0|561360.XSHG:2.7048:2.8709:0.9422:1.3100:0,"['159870', '588080', '159363', '159326', '512100', '516520', '159819', '563300', '159583', '561360']"
2026-01-20,False,114,43,159870,159870.XSHE,159870.XSHE:4.3257:4.6974:0.9209:0.8910:0|588080.XSHG:4.1184:4.6471:0.8862:1.5120:0|159851.XSHE:3.4198:4.4259:0.7727:0.8810:0|512100.XSHG:3.3972:3.7469:0.9067:3.2580:0|563300.XSHG:3.3572:3.5837:0.9368:1.4750:0|159363.XSHE:3.1327:4.0757:0.7686:1.0400:0|516520.XSHG:3.0171:3.4484:0.8749:1.3620:0|159819.XSHE:2.8833:3.3895:0.8507:1.6150:0|515790.XSHG:2.8497:3.1860:0.8944:1.0500:0|561360.XSHG:2.8182:2.9726:0.9481:1.3130:0,"['159870', '588080', '159851', '512100', '563300', '159363', '516520', '159819', '515790', '561360']"
2026-01-21,True,17,2,518880,518880.XSHG,518880.XSHG:1.0391:1.4725:0.7056:10.4290:0|501018.XSHG:0.6755:1.0653:0.6341:1.1610:0,"['518880', '501018']"
