trade_date,ths_top10_raw,is_weak,candidates_json,local_target,ths_target,target_match,local_top1
2020-02-10,"513100.SH:2.9816,513500.SH:0.1721,518880.SH:0.0866",True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.08769818893144253, ""annualized_return"": 0.2906770376058194, ""r_squared"": 0.3017031880253578, ""close"": 3.481}]",518880,513100,False,518880
2020-02-11,"513100.SH:4.1047,513500.SH:0.3048,518880.SH:0.0667",False,"[{""symbol"": ""159966"", ""rank"": 1, ""momentum_score"": 1.6566957323301619, ""annualized_return"": 2.5069188772739888, ""r_squared"": 0.6608493586883213, ""close"": 0.4455765069551777}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.5591293323954072, ""annualized_return"": 2.3705366375326347, ""r_squared"": 0.6577115526120794, ""close"": 0.753}]",159966,513100,False,159966
2020-02-12,"512170.SH:3.3087,159949.SZ:2.1056,159915.SZ:1.1301,159967.SZ:0.9951,513500.SH:0.4458",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 3.2987556598911865, ""annualized_return"": 3.9175937551182782, ""r_squared"": 0.842036174777288, ""close"": 1.358}]",512290,512170,False,512290
2020-02-13,"512170.SH:3.1457,159949.SZ:2.0358,159915.SZ:1.0793,159967.SZ:0.9420,513500.SH:0.7647",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 2.8189428048525755, ""annualized_return"": 3.4472167477515567, ""r_squared"": 0.8177445780545212, ""close"": 1.341}]",512290,512170,False,512290
2020-02-14,"512170.SH:3.1691,159949.SZ:2.3090,159915.SZ:1.2352,159967.SZ:1.1068",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 2.7089122332686637, ""annualized_return"": 3.318365335900449, ""r_squared"": 0.816339359612311, ""close"": 1.364}]",512290,512170,False,512290
2020-02-17,"512170.SH:3.6225,159949.SZ:2.9588",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 2.751398297801655, ""annualized_return"": 3.3447224958263844, ""r_squared"": 0.8226088416108983, ""close"": 1.387}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 2.6246291582353716, ""annualized_return"": 3.6775364702850935, ""r_squared"": 0.7136922174511848, ""close"": 0.801}]",512290,512170,False,512290
2020-02-18,"512170.SH:3.6899,159949.SZ:3.5152,159915.SZ:2.1133,159967.SZ:1.8012,513500.SH:0.8350,518880.SH:0.1648",False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 3.1399646660094067, ""annualized_return"": 4.292329290374818, ""r_squared"": 0.7315293057898679, ""close"": 0.807}]",159949,512170,False,159949
2020-02-19,"159949.SZ:3.6205,512170.SH:3.2037,159915.SZ:2.4204,159967.SZ:2.1695,515050.SH:1.1817,513500.SH:0.7459,518880.SH:0.2996",False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 3.2877409909850375, ""annualized_return"": 4.409986703733594, ""r_squared"": 0.7455217468573232, ""close"": 0.789}, {""symbol"": ""512930"", ""rank"": 2, ""momentum_score"": 3.2155501747767783, ""annualized_return"": 4.93123594497147, ""r_squared"": 0.6520779396199389, ""close"": 0.38431222707423573}, {""symbol"": ""515070"", ""rank"": 3, ""momentum_score"": 3.200081188281319, ""annualized_return"": 5.007986775034913, ""r_squared"": 0.6389955349390892, ""close"": 0.6191830495356037}]",159949,159949,True,159949
2020-02-20,"513100.SH:4.3536,159949.SZ:4.0599,512170.SH:3.0081,159915.SZ:2.8210,159967.SZ:2.4872,515050.SH:1.5208,513500.SH:0.6932,518880.SH:0.5483",False,"[{""symbol"": ""512930"", ""rank"": 1, ""momentum_score"": 4.043800873501608, ""annualized_return"": 5.93310475206964, ""r_squared"": 0.6815657303355401, ""close"": 0.39252183406113533}, {""symbol"": ""515070"", ""rank"": 2, ""momentum_score"": 4.001306182338541, ""annualized_return"": 5.962759888925192, ""r_squared"": 0.6710493558142906, ""close"": 0.631080882352941}, {""symbol"": ""159949"", ""rank"": 3, ""momentum_score"": 3.84956455556995, ""annualized_return"": 4.995914251791902, ""r_squared"": 0.7705425596904938, ""close"": 0.813}]",512930,513100,False,512930
2020-02-21,"159915.SZ:3.8055,159967.SZ:3.3507,512170.SH:3.3320,515050.SH:2.8265,513100.SH:2.5254,512670.SH:1.6659,518880.SH:0.7035,513500.SH:0.5186",False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 4.42558418896183, ""annualized_return"": 5.644614282751021, ""r_squared"": 0.7840365997169481, ""close"": 0.828}]",159949,159915,False,159949
