trade_date,jq_weak,local_weak,below_count,above_count,weak_days_count,match,000300_close,000300_ma10,000300_relation,399101_close,399101_ma10,399101_relation,399006_close,399006_ma10,399006_relation,000510_close,000510_ma10,000510_relation
2023-05-16,True,True,3,1,0,True,3978.205,4006.9135,below,11655.465,11773.2969,below,2294.192,2279.4530000000004,above,4724.903,4767.046899999999,below
2023-05-17,True,True,3,1,0,True,3960.165,4000.0214,below,11684.13,11749.3122,below,2293.644,2276.3459,above,4711.705,4756.303,below
2023-05-18,True,True,3,1,0,True,3956.07,3992.6036999999997,below,11706.588,11726.201400000002,below,2277.974,2274.3763,above,4710.222,4746.5116,below
2023-05-19,True,True,2,2,2,True,3944.54,3985.3700000000003,below,11737.615,11717.375300000002,above,2278.585,2275.4716,above,4699.285,4738.714600000001,below
2023-05-22,True,True,2,2,3,True,3969.328,3976.0366000000004,below,11766.769,11709.3487,above,2280.151,2276.1467,above,4723.365,4728.4868,below
2023-05-23,True,True,4,0,0,True,3913.188,3964.5679000000005,below,11677.813,11706.5565,below,2253.331,2276.8975,below,4661.298,4717.0071,below
2023-05-24,True,True,4,0,0,True,3859.094,3950.7902999999997,below,11626.776,11696.600699999999,below,2245.257,2275.2015,below,4607.167,4702.1119,below
2023-05-25,True,True,4,0,0,True,3850.5,3936.7739,below,11583.181,11679.365600000001,below,2244.184,2271.9628000000002,below,4595.788,4686.9224,below
2023-05-26,True,True,4,0,0,True,3850.951,3928.0928,below,11607.686,11679.1106,below,2229.268,2269.6516,below,4599.607,4678.732399999999,below
2023-05-29,True,True,4,0,0,True,3833.942,3911.5983,below,11513.092,11655.9115,below,2203.842,2260.0428,below,4579.025,4661.2365,below
2023-05-30,True,True,4,0,0,True,3837.753,3897.5531,below,11567.932,11647.1582,below,2218.603,2252.4839,below,4592.766,4648.022800000001,below
2023-05-31,True,True,4,0,0,True,3798.543,3881.3909,below,11523.229,11631.0681,below,2193.408,2242.4603,below,4548.861,4631.7384,below
2023-06-01,True,True,4,0,0,True,3806.868,3866.4707000000003,below,11582.17,11618.6263,below,2206.426,2235.3055,below,4562.889,4617.0051,below
2023-06-02,True,False,0,4,0,False,3861.834,3858.2001000000005,above,11731.148,11617.9796,above,2233.275,2230.7745000000004,above,4629.377,4610.014300000001,above
2023-06-05,False,False,2,2,0,True,3844.249,3845.6922000000004,below,11742.311,11615.5338,above,2202.136,2222.973,below,4612.114,4598.8892,above
2023-06-06,False,True,4,0,0,False,3808.163,3835.1897,below,11529.219,11600.6744,below,2164.811,2214.121,below,4559.015,4588.6609,below
2023-06-07,True,True,4,0,0,True,3789.342,3828.2144999999996,below,11514.182,11589.414999999999,below,2129.898,2202.5851000000002,below,4537.259,4581.6701,below
2023-06-08,True,True,4,0,0,True,3820.187,3825.1831999999995,below,11500.72,11581.1689,below,2123.961,2190.5628,below,4558.224,4577.913699999999,below
2023-06-09,True,True,2,2,2,True,3836.703,3823.7584,above,11562.395,11576.6398,below,2143.009,2181.9368999999997,below,4587.186,4576.6716,above
2023-06-12,True,False,1,3,0,False,3844.432,3824.8074,above,11676.492,11592.9798,above,2152.422,2176.7949,below,4599.424,4578.7115,above
2023-06-13,False,False,1,3,0,True,3864.907,3827.5227999999997,above,11772.516,11613.438199999999,above,2166.962,2171.6308,below,4624.149,4581.8498,above
2023-06-14,False,False,1,3,0,True,3864.025,3834.071,above,11781.266,11639.2419,above,2163.34,2168.6240000000003,below,4625.963,4589.5599999999995,above
2023-06-15,False,False,0,4,0,True,3925.499,3845.9341,above,11914.419,11672.4668,above,2237.74,2171.7554000000005,above,4696.735,4602.9446,above
2023-06-16,False,False,0,4,0,True,3963.351,3856.0858,above,12028.036,11702.155599999998,above,2270.064,2175.4343,above,4746.528,4614.6597,above
2023-06-19,False,False,0,4,0,True,3930.908,3864.7517000000007,above,12024.686,11730.3931,above,2265.185,2181.7392,above,4716.627,4625.111,above
2023-06-20,False,False,0,4,0,True,3924.238,3876.3592000000003,above,12045.446,11782.015800000001,above,2271.419,2192.4,above,4714.912,4640.700699999999,above
2023-06-21,False,False,2,2,0,True,3864.032,3883.8282,below,11823.75,11812.9726,above,2211.836,2200.5937999999996,above,4630.252,4650.000000000001,below
2023-06-26,False,True,4,0,0,False,3809.696,3882.7790999999997,below,11607.278,11823.6284,below,2186.253,2206.823,below,4561.289,4650.306500000001,below
2023-06-27,True,True,4,0,0,True,3845.433,3883.6521000000002,below,11769.179,11844.306800000002,below,2191.828,2211.7049,below,4606.022,4652.1901,below
2023-06-28,True,True,4,0,0,True,3840.799,3883.2888,below,11727.66,11849.4236,below,2182.095,2214.6722,below,4595.325,4651.780199999999,below
2023-06-29,True,True,4,0,0,True,3821.844,3878.9824999999996,below,11762.901,11848.4621,below,2180.063,2215.9823000000006,below,4578.555,4647.2208,below
2023-06-30,True,True,3,1,0,True,3842.452,3876.8251999999993,below,11876.328,11857.968299999999,above,2215.001,2221.1484,below,4608.503,4645.4748,below
2023-07-03,True,False,0,4,0,False,3892.882,3873.5634999999993,above,11920.88,11858.614400000002,above,2228.211,2220.1955,above,4656.918,4641.4931,above
2023-07-04,False,False,0,4,0,True,3899.013,3867.1297,above,11996.452,11855.456000000002,above,2232.75,2216.4641,above,4666.454,4633.485699999999,above
2023-07-05,False,False,0,4,0,True,3868.805,3860.9194,above,11875.266,11840.514000000001,above,2212.415,2211.1871,above,4631.478,4624.9708,above
2023-07-06,False,True,3,1,0,False,3842.755,3852.7710999999995,below,11837.16,11819.6854,above,2192.187,2203.2638999999995,below,4602.777,4613.7573,below
2023-07-07,True,True,4,0,0,True,3825.699,3848.9377999999997,below,11757.633,11813.0737,below,2169.208,2199.0011,below,4575.245,4608.2566,below
2023-07-10,True,True,4,0,0,True,3844.327,3852.4008999999996,below,11801.212,11832.4671,below,2198.865,2200.2623,below,4599.225,4612.0502,below
2023-07-11,True,False,0,4,0,False,3869.486,3854.8062,above,11899.249,11845.4741,above,2216.779,2202.7573999999995,above,4630.226,4614.470600000001,above
2023-07-12,False,True,4,0,0,False,3843.437,3855.0699999999997,below,11783.393,11851.0474,below,2196.852,2204.2330999999995,below,4592.522,4614.1903,below
2023-07-13,True,False,0,4,0,False,3898.423,3862.7279000000003,above,11923.15,11867.072299999998,above,2237.515,2209.9782999999998,above,4656.57,4621.9918,above
2023-07-14,False,False,0,4,0,True,3899.103,3868.393000000001,above,11897.893,11869.228799999999,above,2224.096,2210.8878,above,4655.083,4626.6498,above
2023-07-17,False,True,3,1,0,False,3867.175,3865.8223000000007,above,11826.842,11859.825,below,2207.445,2208.8112000000006,below,4620.031,4622.9611,below
