trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2021-10-18,501018,501018,2026600,3382.957951262826,1943509.4,1946892.3579512627
2021-10-19,159865,159865,2357000,3730.8232229715213,1982237.0,1985967.8232229715
2021-10-20,159865,159865,2357000,3730.8232229715213,1944525.0,1948255.8232229715
2021-10-21,159865,159865,2357000,3730.8232229715213,1913884.0000000002,1917614.8232229718
2021-10-22,159928,159928,1638500,3707.4607399241067,1912129.5,1915836.960739924
2021-10-25,501018,501018,2002000,3744.0174016742967,1917916.0,1921660.0174016743
2021-10-26,501018,501018,2002000,3744.0174016742967,1897896.0,1901640.0174016743
2021-10-27,501018,501018,2002000,3744.0174016742967,1889888.0,1893632.0174016743
2021-10-28,501018,501018,2002000,3744.0174016742967,1859858.0,1863602.0174016743
2021-10-29,511880,511880,18300,12314.495494326344,1864367.4,1876681.8954943263
2021-11-01,516520,516520,1669400,3671.895342354197,1879744.4,1883416.295342354
2021-11-02,515790,515790,1034900,3731.9509840882383,1880413.3,1884145.2509840883
2021-11-03,515790,515790,1034900,3731.9509840882383,1846261.6,1849993.5509840883
2021-11-04,516520,516520,1646500,3679.0401792509947,1893474.9999999998,1897154.0401792508
2021-11-05,516520,516520,1646500,3679.0401792509947,1901707.5,1905386.540179251
2021-11-08,516520,516520,1646500,3679.0401792509947,1896767.9999999998,1900447.0401792508
2021-11-09,516520,516520,1646500,3679.0401792509947,1901707.5,1905386.540179251
2021-11-10,516520,516520,1646500,3679.0401792509947,1890181.9999999998,1893861.0401792508
2021-11-11,512660,512660,1364300,3735.7754326795693,1912748.5999999999,1916484.3754326794
2021-11-12,512660,512660,1364300,3735.7754326795693,1983692.2,1987427.9754326795
2021-11-15,512660,512660,1364300,3735.7754326795693,1950949.0,1954684.7754326796
2021-11-16,159869,159869,1740400,3660.9845102329273,1879632.0000000002,1883292.9845102332
2021-11-17,516520,516520,1589700,3636.8055821100716,1883794.5,1887431.30558211
2021-11-18,512980,512980,2397800,3581.0453841660637,1855897.2,1859478.245384166
2021-11-19,518880,518880,498600,3565.736228605965,1859778.0,1863343.736228606
2021-11-22,512980,512980,2379700,3582.367930850014,1841887.8,1845470.16793085
2021-11-23,512980,512980,2379700,3582.367930850014,1846647.2,1850229.56793085
2021-11-24,159869,159869,1796900,3644.1520059709437,1877760.4999999998,1881404.6520059707
2021-11-25,159869,159869,1796900,3644.1520059709437,1827447.2999999998,1831091.4520059708
2021-11-26,515880,515880,10024200,3448.886878344463,1805176.9990243788,1808625.8859027233
2021-11-29,515880,515880,10024200,3448.886878344463,1798582.7451466639,1802031.6320250083
2021-11-30,515880,515880,10024200,3448.886878344463,1821662.6337186652,1825111.5205970097
2021-12-01,516150,516150,1121900,3531.9843884666916,1838794.1,1842326.0843884668
2021-12-02,516150,516150,1121900,3531.9843884666916,1873573.0,1877104.9843884667
2021-12-03,511880,511880,18000,7530.143083626404,1837242.0,1844772.1430836264
2021-12-06,562800,562800,1880000,3566.455073226476,1840520.0,1844086.4550732265
2021-12-07,159985,159985,1544500,3488.2661937065423,1803976.0,1807464.2661937065
2021-12-08,511880,511880,17600,8253.814038378652,1796766.4,1805020.2140383786
2021-12-09,516150,516150,1115400,3495.2347205739934,1801371.0,1804866.234720574
2021-12-10,516150,516150,1115400,3495.2347205739934,1813640.4,1817135.634720574
2021-12-13,516150,516150,1115400,3495.2347205739934,1827025.2,1830520.434720574
2021-12-14,516150,516150,1115400,3495.2347205739934,1785755.4,1789250.634720574
2021-12-15,516150,516150,1115400,3495.2347205739934,1784640.0,1788135.234720574
2021-12-16,515170,515170,1968400,3472.0490575900767,1797149.2,1800621.24905759
2021-12-17,515170,515170,1968400,3472.0490575900767,1753844.4000000001,1757316.4490575902
2021-12-20,159985,159985,1447600,3396.1320367178414,1753043.6,1756439.732036718
2021-12-21,159985,159985,1447600,3396.1320367178414,1747253.2000000002,1750649.332036718
2021-12-22,159985,159985,1447600,3396.1320367178414,1763176.8,1766572.932036718
2021-12-23,511880,511880,17600,6442.9491104139015,1798315.2000000002,1804758.149110414
2021-12-24,159985,159985,1439900,3436.025013634935,1802754.8,1806190.825013635
2021-12-27,159985,159985,1439900,3436.025013634935,1784036.1,1787472.125013635
2021-12-28,159985,159985,1439900,3436.025013634935,1798435.1,1801871.125013635
2021-12-29,512980,512980,2211700,3389.323643732816,1775995.1,1779384.423643733
2021-12-30,159985,159985,1507000,3615.7967834270094,1868680.0,1872295.796783427
2021-12-31,159985,159985,1507000,3615.7967834270094,1840047.0000000002,1843662.7967834272
2022-01-04,516190,516190,1621200,3650.903666586615,1896804.0,1900454.9036665866
2022-01-05,159985,159985,1493200,3693.103967575822,1884418.4,1888111.5039675757
2022-01-06,159985,159985,1493200,3693.103967575822,1839622.4,1843315.5039675757
2022-01-07,501018,501018,1990100,3543.244105824968,1848802.9000000001,1852346.144105825
2022-01-10,501018,501018,1990100,3543.244105824968,1826911.8,1830455.044105825
2022-01-11,501018,501018,1990100,3543.244105824968,1820941.5,1824484.744105825
2022-01-12,501018,501018,1990100,3543.244105824968,1854773.2000000002,1858316.4441058252
2022-01-13,501018,501018,1990100,3543.244105824968,1868703.9,1872247.1441058249
2022-01-14,501018,501018,1990100,3543.244105824968,1872684.0999999999,1876227.3441058248
2022-01-17,501018,501018,1990100,3543.244105824968,1904525.7,1908068.944105825
2022-01-18,501018,501018,1990100,3543.244105824968,1928406.9,1931950.1441058249
2022-01-19,501018,501018,1990100,3543.244105824968,1944327.7,1947870.944105825
2022-01-20,501018,501018,1990100,3543.244105824968,1946317.8,1949861.044105825
