date,requested,fetched,total_cached
2021-06-09,114,62,114
2021-06-10,114,62,114
2021-06-11,114,62,114
2021-06-15,114,62,114
2021-06-16,114,62,114
2021-06-17,114,62,114
2021-06-18,114,62,114
2021-06-21,114,62,114
2021-06-22,114,63,114
2021-06-23,114,63,114
2021-06-24,114,63,114
2021-06-25,114,63,114
2021-06-28,114,63,114
2021-06-29,114,64,114
2021-06-30,114,64,114
2021-07-01,114,64,114
2021-07-02,114,64,114
2021-07-05,114,64,114
2021-07-06,114,64,114
2021-07-07,114,64,114
2021-07-08,114,64,114
2021-07-09,114,64,114
2021-07-12,114,64,114
2021-07-13,114,64,114
2021-07-14,114,64,114
2021-07-15,114,64,114
2021-07-16,114,64,114
2021-07-19,114,64,114
2021-07-20,114,64,114
2021-07-21,114,64,114
2021-07-22,114,64,114
2021-07-23,114,64,114
2021-07-26,114,64,114
2021-07-27,114,64,114
2021-07-28,114,65,114
2021-07-29,114,65,114
2021-07-30,114,65,114
2021-08-02,114,65,114
2021-08-03,114,65,114
2021-08-04,114,65,114
2021-08-05,114,65,114
2021-08-06,114,65,114
2021-08-09,114,65,114
2021-08-10,114,65,114
2021-08-11,114,65,114
2021-08-12,114,65,114
2021-08-13,114,65,114
2021-08-16,114,65,114
2021-08-17,114,65,114
2021-08-18,114,65,114
2021-08-19,114,65,114
2021-08-20,114,65,114
2021-08-23,114,65,114
2021-08-24,114,65,114
2021-08-25,114,66,114
2021-08-26,114,67,114
2021-08-27,114,67,114
2021-08-30,114,67,114
2021-08-31,114,67,114
2021-09-01,114,67,114
2021-09-02,114,67,114
2021-09-03,114,67,114
2021-09-06,114,67,114
2021-09-07,114,67,114
2021-09-08,114,67,114
2021-09-09,114,67,114
2021-09-10,114,67,114
2021-09-13,114,67,114
2021-09-14,114,67,114
2021-09-15,114,67,114
2021-09-16,114,67,114
2021-09-17,114,67,114
2021-09-22,114,67,114
2021-09-23,114,67,114
2021-09-24,114,68,114
2021-09-27,114,68,114
2021-09-28,114,68,114
2021-09-29,114,68,114
2021-09-30,114,69,114
2021-10-08,114,69,114
2021-10-11,114,69,114
2021-10-12,114,69,114
2021-10-13,114,69,114
2021-10-14,114,69,114
2021-10-15,114,69,114
2021-10-18,114,69,114
2021-10-19,114,69,114
2021-10-20,114,69,114
2021-10-21,114,69,114
2021-10-22,114,70,114
2021-10-25,114,70,114
2021-10-26,114,70,114
2021-10-27,114,70,114
2021-10-28,114,70,114
2021-10-29,114,70,114
