date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,signal_target_match,top1_match,top10_overlap
2020-05-13,13:10:00,512690,"['512690', '159967', '159949', '159995', '515050', '512480', '159915', '513520', '512170', '159928']",13:10:00,512690,"['512690', '159967', '159949', '159995', '515050', '512480', '159915', '513520', '512170', '159928']",True,True,10
2020-05-14,13:10:00,512690,"['512690', '159995', '159967', '512480', '515050', '159949', '159915', '512170', '513520', '515030']",13:10:00,512690,"['512690', '159995', '159967', '512480', '515050', '159949', '159915', '512170', '513520', '515030']",True,True,10
2020-05-15,13:10:00,159995,"['159995', '513100', '512480', '512690', '515050', '159967', '159949', '159915', '515030', '512170']",13:10:00,159995,"['159995', '513100', '512480', '512690', '515050', '159967', '159949', '159915', '515030', '512170']",True,True,10
2020-05-18,13:10:00,512480,"['512480', '512690', '513100', '159967', '159949', '159915', '515030', '512170', '512670', '512710']",13:10:00,512480,"['512480', '512690', '513100', '159967', '159949', '159915', '515030', '512170', '512670', '512710']",True,True,10
2020-05-19,13:10:00,513100,"['513100', '513520', '518880', '159980', '161226', '513500', '513030']",13:10:00,513100,"['513100', '513520', '518880', '159980', '161226', '513500', '513030']",True,True,7
2020-05-20,13:10:00,512690,"['512690', '513100', '512670', '515030', '159949', '159915', '512170', '512710', '159928', '512660']",13:10:00,512690,"['512690', '159967', '513100', '512670', '515030', '159949', '159915', '512170', '512710', '159928']",True,True,9
2020-05-21,13:10:00,513100,"['513100', '161226', '513520', '518880', '159980', '513500', '513030']",13:10:00,513100,"['513100', '161226', '513520', '518880', '159980', '513500', '513030']",True,True,7
2020-05-22,13:10:00,161226,"['161226', '513520', '518880', '513500', '513030']",13:10:00,161226,"['161226', '513520', '518880', '513500', '513030']",True,True,5
2020-05-25,13:10:00,161226,"['161226', '513520', '518880', '159980', '513500', '513030']",13:10:00,161226,"['161226', '513520', '518880', '159980', '513500', '513030']",True,True,6
2020-05-26,13:10:00,161226,"['161226', '513520', '518880', '513030', '513500', '159980']",13:10:00,161226,"['161226', '513520', '518880', '513030', '513500', '159980']",True,True,6
2020-05-27,13:10:00,161226,"['161226', '513520', '513030', '513100', '513500', '159980', '159985']",13:10:00,161226,"['161226', '513520', '513030', '513100', '513500', '159980', '159985']",True,True,7
