date,time,target,top10,top10_raw
2021-08-31,13:10:00,512400,"['512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710', '512100']","512400.SH:2.2635,515790.SH:2.2473,510880.SH:1.7747,512670.SH:1.6421,512660.SH:1.5002,512890.SH:1.4826,159766.SZ:1.0206,512880.SH:0.8836,512710.SH:0.8529,512100.SH:0.6183"
2021-09-01,13:10:00,510880,"['510880', '512890', '159766', '512880', '512200', '510500', '513090', '512100', '512070', '513100']","510880.SH:2.2504,512890.SH:1.9080,159766.SZ:1.7867,512880.SH:1.3609,512200.SH:0.6908,510500.SH:0.6260,513090.SH:0.5211,512100.SH:0.4979,512070.SH:0.3676,513100.SH:0.3648"
2021-09-02,13:10:00,510880,"['510880', '512890', '159766', '512880', '512200', '510500', '513090', '513100', '512100', '511380']","510880.SH:2.6556,512890.SH:2.1742,159766.SZ:2.0439,512880.SH:1.3685,512200.SH:0.7292,510500.SH:0.6226,513090.SH:0.5462,513100.SH:0.4350,512100.SH:0.3738,511380.SH:0.3613"
2021-09-03,13:10:00,510880,"['510880', '159766', '512890', '512880', '512200', '513090', '510500', '513100', '512070', '511380']","510880.SH:3.1409,159766.SZ:2.5195,512890.SH:2.4349,512880.SH:1.6341,512200.SH:0.8512,513090.SH:0.6771,510500.SH:0.6526,513100.SH:0.5015,512070.SH:0.4428,511380.SH:0.4143"
2021-09-06,13:10:00,513100,"['513100', '513500', '513520', '518880', '159980']","513100.SH:0.4978,513500.SH:0.2660,513520.SH:0.1726,518880.SH:0.0749,159980.SZ:0.0262"
2021-09-07,13:10:00,513100,"['513100', '513520', '513500', '518880', '513030', '159980', '501018']","513100.SH:0.5260,513520.SH:0.3547,513500.SH:0.2790,518880.SH:0.1189,513030.SH:0.0693,159980.SZ:0.0622,501018.SH:0.0136"
2021-09-08,13:10:00,510880,"['510880', '512890', '159766', '512880', '512400', '513090', '510500', '512070', '512200', '511380']","510880.SH:4.9991,512890.SH:3.4511,159766.SZ:3.3776,512880.SH:2.6467,512400.SH:2.2236,513090.SH:1.3061,510500.SH:0.9263,512070.SH:0.8660,512200.SH:0.7681,511380.SH:0.6613"
2021-09-09,13:10:00,512890,"['512890', '159766', '512880', '512400', '513090', '159981', '510500', '512070', '513520', '511380']","512890.SH:4.1573,159766.SZ:3.5324,512880.SH:2.7782,512400.SH:2.2114,513090.SH:1.3960,159981.SZ:1.1743,510500.SH:1.1248,512070.SH:0.9213,513520.SH:0.8097,511380.SH:0.7723"
2021-09-10,13:10:00,512890,"['512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512070', '512980']","512890.SH:4.8250,159766.SZ:3.8612,512880.SH:3.2298,512400.SH:2.7499,513090.SH:1.7348,510500.SH:1.3325,159981.SZ:1.2251,513520.SH:1.0993,512070.SH:1.0478,512980.SH:0.9874"
2021-09-13,13:10:00,512400,"['512400', '512880', '513090', '510500', '513520', '159981', '512980', '511380', '159870', '510760']","512400.SH:3.5194,512880.SH:3.3070,513090.SH:1.9173,510500.SH:1.4842,513520.SH:1.4098,159981.SZ:1.3585,512980.SH:1.1357,511380.SH:0.9441,159870.SZ:0.8551,510760.SH:0.8338"
