date,value,positions,positions_raw
2022-09-02,3558913.25,['159985'],159985.XSHE:2143700:3552110.90
2022-09-05,3597495.75,['159985'],159985.XSHE:2143400:3590195.00
2022-09-06,3541762.25,['159985'],159985.XSHE:2143500:3534631.50
2022-09-07,3567484.25,['159985'],159985.XSHE:2143500:3560353.50
2022-09-08,3567479.65,['159985'],159985.XSHE:2143400:3560187.40
2022-09-09,3578196.65,['159985'],159985.XSHE:2143400:3570904.40
2022-09-13,3734038.8,['515220'],515220.XSHG:1369100:3726690.20
2022-09-14,3681209.39,['512890'],512890.XSHG:4175200:3674176.00
2022-09-15,3718778.69,['512890'],512890.XSHG:4174700:3711308.30
2022-09-16,3640860.65,['159985'],159985.XSHE:2100500:3633865.00
2022-09-19,3651359.35,['159985'],159985.XSHE:2100300:3644020.50
2022-09-20,3668161.75,['159985'],159985.XSHE:2100300:3660822.90
2022-09-21,3710161.05,['159985'],159985.XSHE:2100200:3702652.60
2022-09-22,3722762.25,['159985'],159985.XSHE:2100200:3715253.80
2022-09-23,3689159.05,['159985'],159985.XSHE:2100200:3681650.60
2022-09-26,3635893.38,['511880'],511880.XSHG:35700:3620515.50
2022-09-27,3622309.4,['159985'],159985.XSHE:2071800:3615291.00
2022-09-28,3657523.2,['159985'],159985.XSHE:2071600:3650159.20
2022-09-29,3736238.2,['159985'],159985.XSHE:2071500:3728700.00
2022-09-30,3682374.7,['159985'],159985.XSHE:2071600:3675018.40
2022-10-10,3692728.1,['159985'],159985.XSHE:2071500:3685198.50
2022-10-11,3654260.18,['161226'],161226.XSHE:5761900:3647282.70
2022-10-12,3625444.48,['161226'],161226.XSHE:5761500:3618222.00
2022-10-13,3580367.44,['159985'],159985.XSHE:2015500:3573481.50
2022-10-14,3644856.04,['159985'],159985.XSHE:2015200:3637436.00
2022-10-17,3554166.04,['159985'],159985.XSHE:2015300:3546928.00
2022-10-18,3507808.14,['159985'],159985.XSHE:2015400:3500749.80
2022-10-19,3492900.57,['511880'],511880.XSHG:34300:3481930.20
2022-10-20,3493072.07,['511880'],511880.XSHG:34300:3482101.70
2022-10-21,3493380.77,['511880'],511880.XSHG:34300:3482410.40
2022-10-24,3467173.55,['159883'],159883.XSHE:5081500:3460501.50
2022-10-25,3394835.48,['501018'],501018.XSHG:2252789:2831755.77
2022-10-26,3381474.58,"['501018', '513290']",501018.XSHG:833489:1042694.74|513290.XSHG:2270800:2338924.00
2022-10-27,3465536.41,['513290'],513290.XSHG:3278300:3458606.50
2022-10-28,3409800.31,['513290'],513290.XSHG:3278400:3402979.20
2022-10-31,3607996.72,['513030'],513030.XSHG:3720200:3601153.60
2022-11-01,3619151.12,['513030'],513030.XSHG:3719800:3611925.80
2022-11-02,3593112.52,['513030'],513030.XSHG:3719800:3585887.20
2022-11-03,3549969.99,['515400'],515400.XSHG:4820700:3543214.50
2022-11-04,3597904.52,['159998'],159998.XSHE:4374000:3591054.00
2022-11-07,3570947.63,['513360'],513360.XSHG:7551100:3564119.20
2022-11-08,3569398.13,['159998'],159998.XSHE:4334200:3562712.40
2022-11-09,3485561.53,['159892'],159892.XSHE:5684400:3478852.80
2022-11-10,3451453.13,['159892'],159892.XSHE:5683900:3444443.40
2022-11-11,3593547.63,['159892'],159892.XSHE:5683500:3586288.50
2022-11-14,3797805.16,['513030'],513030.XSHG:3651700:3790464.60
2022-11-15,3798287.86,['515400'],515400.XSHG:4891700:3791067.50
