trade_date,target_symbol,is_weak,candidates_json,local_target,jq_target,target_match
2020-05-07,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.273900757707382, ""annualized_return"": 2.5692676307752307, ""r_squared"": 0.885038495200001, ""close"": 0.4001876777251185}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 2.192979360647234, ""annualized_return"": 2.4611547299912173, ""r_squared"": 0.8910367698235129, ""close"": 0.793}]",159967,512690,False
2020-05-08,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.4188322274467824, ""annualized_return"": 2.7173161173633678, ""r_squared"": 0.8901548892271663, ""close"": 0.402614691943128}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 2.3894907992974237, ""annualized_return"": 2.6409715550177477, ""r_squared"": 0.9047771812450914, ""close"": 0.799}]",159967,512690,False
2020-05-11,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.301273378581415, ""annualized_return"": 2.576590415174166, ""r_squared"": 0.8931467589992796, ""close"": 0.399378672985782}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 2.216839334733257, ""annualized_return"": 2.467956909062345, ""r_squared"": 0.8982488011006255, ""close"": 0.788}]",159967,512690,False
2020-05-12,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.331191058920667, ""annualized_return"": 2.5956534250424093, ""r_squared"": 0.8981133753950911, ""close"": 0.40612037914691945}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 2.118111958170011, ""annualized_return"": 2.353980299132958, ""r_squared"": 0.8998002060383326, ""close"": 0.797}]",159967,512690,False
2020-05-13,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.4224312349312336, ""annualized_return"": 2.6837305333339643, ""r_squared"": 0.9026357917990664, ""close"": 0.4120530805687204}]",159967,512690,False
2020-05-14,159995,False,"[{""symbol"": ""159995"", ""rank"": 1, ""momentum_score"": 2.709687278578984, ""annualized_return"": 4.9181635124617005, ""r_squared"": 0.550955101779993, ""close"": 1.103}, {""symbol"": ""159967"", ""rank"": 2, ""momentum_score"": 2.4482836870685354, ""annualized_return"": 2.7046690158473226, ""r_squared"": 0.9052063940997725, ""close"": 0.4085473933649289}]",159995,512690,False
2020-05-15,159995,False,"[{""symbol"": ""159995"", ""rank"": 1, ""momentum_score"": 3.982939348370202, ""annualized_return"": 6.414513540459125, ""r_squared"": 0.6209261736292351, ""close"": 1.147}]",159995,159995,True
2020-05-18,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.5342822187418794, ""annualized_return"": 2.7494018222366914, ""r_squared"": 0.92175767043036, ""close"": 0.4098957345971564}]",159967,512480,False
2020-05-19,513520,True,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 0.8440328541322475, ""annualized_return"": 1.0877400557341232, ""r_squared"": 0.7759508806197304, ""close"": 1.001}]",513520,513100,False
2020-05-20,159967,False,"[{""symbol"": ""159967"", ""rank"": 1, ""momentum_score"": 2.702828254728984, ""annualized_return"": 2.8736983566337773, ""r_squared"": 0.9405400008284276, ""close"": 0.4096260663507109}]",159967,512690,False
2020-05-21,161226,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 1.273260469989595, ""annualized_return"": 2.52930841190152, ""r_squared"": 0.5034026155127381, ""close"": 0.812}]",161226,513100,False
2020-05-22,161226,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 1.5444564864852535, ""annualized_return"": 2.7633268779395457, ""r_squared"": 0.5589119762902846, ""close"": 0.799}]",161226,161226,True
2020-05-25,161226,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 1.9983103692769832, ""annualized_return"": 3.1262377484326658, ""r_squared"": 0.6392061417206139, ""close"": 0.806}]",161226,161226,True
2020-05-26,161226,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 2.594401120400866, ""annualized_return"": 3.686323520062663, ""r_squared"": 0.7037909468013173, ""close"": 0.826}]",161226,161226,True
2020-05-27,161226,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 3.191192707405004, ""annualized_return"": 4.103573561030542, ""r_squared"": 0.7776618744476925, ""close"": 0.818}]",161226,161226,True
2020-05-28,161226,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 3.7474655720053294, ""annualized_return"": 4.538988657258443, ""r_squared"": 0.8256168620321702, ""close"": 0.83}]",161226,161226,True
2020-05-29,161226,True,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 4.048613593589473, ""annualized_return"": 4.759935088138905, ""r_squared"": 0.8505606733331414, ""close"": 0.832}]",161226,161226,True
2020-06-01,513520,True,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 2.082118665739266, ""annualized_return"": 2.5029318652439123, ""r_squared"": 0.8318718917809463, ""close"": 1.071}]",513520,161226,False
2020-06-02,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 2.4971075460890932, ""annualized_return"": 3.503822895641723, ""r_squared"": 0.7126808690003008, ""close"": 0.999}, {""symbol"": ""513520"", ""rank"": 2, ""momentum_score"": 2.3211922338332123, ""annualized_return"": 2.7849703210929877, ""r_squared"": 0.8334710845041389, ""close"": 1.085}]",513030,512690,False
2020-06-03,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 3.1891123249681934, ""annualized_return"": 4.3326528142228895, ""r_squared"": 0.7360645917667873, ""close"": 1.021}]",513030,513030,True
2020-06-04,161226,False,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 4.58439332264758, ""annualized_return"": 5.266092340460102, ""r_squared"": 0.870549361131605, ""close"": 0.828}]",161226,161226,True
2020-06-05,161226,False,"[{""symbol"": ""161226"", ""rank"": 1, ""momentum_score"": 3.8705824490366716, ""annualized_return"": 4.588770991398439, ""r_squared"": 0.8434900011990143, ""close"": 0.832}]",161226,161226,True
2020-06-08,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 2.9981789394592444, ""annualized_return"": 3.44732284678096, ""r_squared"": 0.8697122586759993, ""close"": 1.096}, {""symbol"": ""161226"", ""rank"": 2, ""momentum_score"": 2.997670241461988, ""annualized_return"": 3.752266641041116, ""r_squared"": 0.7988958483585391, ""close"": 0.83}]",513520,513520,True
